"","trial","Environment","meanReward","maxReward","Model"
"1",1,"Smooth",50.0023748871821,50.0023748871821,"Inertia"
"2",2,"Smooth",49.7867503314822,60.5343402995792,"Inertia"
"3",3,"Smooth",50.5050801964423,66.1931178403114,"Inertia"
"4",4,"Smooth",49.7199534462031,69.6802346533412,"Inertia"
"5",5,"Smooth",50.3863346076375,72.2974152937276,"Inertia"
"6",6,"Smooth",50.0731947787544,74.1895557662534,"Inertia"
"7",7,"Smooth",49.8083715774035,75.7703960336223,"Inertia"
"8",8,"Smooth",49.8894788647439,77.0978110177952,"Inertia"
"9",9,"Smooth",49.7315420790385,78.1849900297352,"Inertia"
"10",10,"Smooth",49.8434839930568,79.2537719497681,"Inertia"
"11",11,"Smooth",49.7890921094855,80.2096330492623,"Inertia"
"12",12,"Smooth",50.0569680573315,80.9605871374808,"Inertia"
"13",13,"Smooth",49.5733810878877,81.6668931918978,"Inertia"
"14",14,"Smooth",50.113400047395,82.3658575171856,"Inertia"
"15",15,"Smooth",49.3472931734967,82.9243429992405,"Inertia"
"16",16,"Smooth",49.6998899804832,83.4761923105529,"Inertia"
"17",17,"Smooth",49.5913039474619,84.0426249337073,"Inertia"
"18",18,"Smooth",50.1478659754843,84.5918726821625,"Inertia"
"19",19,"Smooth",49.7673400377293,85.076380376752,"Inertia"
"20",20,"Smooth",49.963779207702,85.5351298212776,"Inertia"
"21",21,"Smooth",49.7196835473474,85.9480959452907,"Inertia"
"22",22,"Smooth",50.0569773043855,86.3475848936336,"Inertia"
"23",23,"Smooth",50.0199256216197,86.7293904714273,"Inertia"
"24",24,"Smooth",49.9028406733964,87.0564944386678,"Inertia"
"25",25,"Smooth",49.9003412180807,87.394711989932,"Inertia"
"26",26,"Smooth",49.9232047857083,87.7193123442808,"Inertia"
"27",27,"Smooth",49.8400151696121,87.9919886023207,"Inertia"
"28",28,"Smooth",49.9124581707936,88.3204706007475,"Inertia"
"29",29,"Smooth",50.0226265417586,88.6154505720408,"Inertia"
"30",30,"Smooth",49.9744770135953,88.8961235540592,"Inertia"
"31",31,"Smooth",50.0260394970032,89.1713264851706,"Inertia"
"32",32,"Smooth",50.2351344130161,89.4265475866803,"Inertia"
"33",33,"Smooth",49.9881353532103,89.6766262985911,"Inertia"
"34",34,"Smooth",50.1122402703349,89.8941859383916,"Inertia"
"35",35,"Smooth",50.1424683914431,90.1152663991062,"Inertia"
"36",36,"Smooth",50.187448373573,90.3324047703855,"Inertia"
"37",37,"Smooth",49.3586887653224,90.521223824464,"Inertia"
"38",38,"Smooth",49.9108196188296,90.6917077788508,"Inertia"
"39",39,"Smooth",50.4931097570532,90.8919884668263,"Inertia"
"40",40,"Smooth",50.242357682988,91.0962832362166,"Inertia"
"41",41,"Smooth",49.9837381999833,91.2629053679696,"Inertia"
"42",1,"Rough",47.4591419241285,47.4591419241285,"Inertia"
"43",2,"Rough",47.7245751187263,57.7178481566981,"Inertia"
"44",3,"Rough",47.8484086073656,63.3568813977882,"Inertia"
"45",4,"Rough",47.3021792533362,66.6933939904693,"Inertia"
"46",5,"Rough",47.4510527558529,69.3557966821607,"Inertia"
"47",6,"Rough",47.3844243846397,71.3807570129508,"Inertia"
"48",7,"Rough",47.3782988201842,72.963826258816,"Inertia"
"49",8,"Rough",47.3258651640008,74.3561680740119,"Inertia"
"50",9,"Rough",47.3762086495067,75.5284007019837,"Inertia"
"51",10,"Rough",47.459735648929,76.6489569316372,"Inertia"
"52",11,"Rough",47.3106705850251,77.604274192801,"Inertia"
"53",12,"Rough",47.3414424966813,78.4421191604758,"Inertia"
"54",13,"Rough",47.121752577087,79.1969879238219,"Inertia"
"55",14,"Rough",47.3530305035649,79.9075767808569,"Inertia"
"56",15,"Rough",47.770004241916,80.5813317543415,"Inertia"
"57",16,"Rough",47.1942327947666,81.1492639770809,"Inertia"
"58",17,"Rough",47.2732553344382,81.7331450533313,"Inertia"
"59",18,"Rough",47.7623147804842,82.2892226697154,"Inertia"
"60",19,"Rough",47.5316126138402,82.8273106711803,"Inertia"
"61",20,"Rough",47.281827207859,83.2693521491477,"Inertia"
"62",21,"Rough",47.2822830694152,83.6880357429792,"Inertia"
"63",22,"Rough",47.2602573470398,84.1070332644067,"Inertia"
"64",23,"Rough",47.3598523819438,84.4867032938759,"Inertia"
"65",24,"Rough",47.3623678248445,84.865028542244,"Inertia"
"66",25,"Rough",47.3216351096454,85.1888700170068,"Inertia"
"67",26,"Rough",47.2938206878077,85.5286660573737,"Inertia"
"68",27,"Rough",47.635706904011,85.8843801911126,"Inertia"
"69",28,"Rough",46.9975167674063,86.1818331646564,"Inertia"
"70",29,"Rough",47.4878429865013,86.4764098193577,"Inertia"
"71",30,"Rough",47.3099684113666,86.7344327768117,"Inertia"
"72",31,"Rough",47.0364264672589,87.0055872637159,"Inertia"
"73",32,"Rough",47.3152053519343,87.2498585720331,"Inertia"
"74",33,"Rough",47.7194021206776,87.4987934615471,"Inertia"
"75",34,"Rough",47.3309757565184,87.7544982883555,"Inertia"
"76",35,"Rough",47.4727896301411,87.985356005981,"Inertia"
"77",36,"Rough",47.4482235389864,88.2125971147862,"Inertia"
"78",37,"Rough",47.0311187720215,88.4289773788826,"Inertia"
"79",38,"Rough",47.360733966867,88.6429989416202,"Inertia"
"80",39,"Rough",47.552368484467,88.8344486313081,"Inertia"
"81",40,"Rough",47.2587682457961,89.0500071419213,"Inertia"
"82",41,"Rough",47.632411940935,89.2550849471471,"Inertia"
