"","X","setting","l0","l1","m","d"
"1",0,"mrs",0.1,0.1,0.24018523577,0.102807078704
"2",0,"mrs",0.1,0.2,0.7087319726355,0.2282451037745
"3",0,"mrs",0.1,0.3,0.6324646433225,0.2312612328765
"4",0,"mrs",0.1,0.4,1.229041887395,0.274401623855
"5",0,"mrs",0.1,0.5,0.6095310792095,0.290759061594
"6",0,"mrs",0.1,0.6,1.279402704655,0.2802885303295
"7",0,"mrs",0.1,0.7,0.782910835639,0.312818944829
"8",0,"mrs",0.1,0.8,1.247499761615,0.345511754157
"9",0,"mrs",0.1,0.9,1.05292805999,0.2582284238715
"10",0,"mrs",0.2,0.1,0.383795151415,0.1203698565175
"11",0,"mrs",0.2,0.2,0.03749800548415,0.0375629770851
"12",0,"mrs",0.2,0.3,0.1701945499835,0.10109149682125
"13",0,"mrs",0.2,0.4,0.4492831403735,0.1691949448635
"14",0,"mrs",0.2,0.5,0.529880146725,0.2132064000105
"15",0,"mrs",0.2,0.6,0.5307846897855,0.155127854983
"16",0,"mrs",0.2,0.7,0.2728484425955,0.150310356829
"17",0,"mrs",0.2,0.8,0.460225885483,0.178848413988
"18",0,"mrs",0.2,0.9,0.44878193839,0.151874375312
"19",0,"mrs",0.3,0.1,0.3114510187115,0.2351437317315
"20",0,"mrs",0.3,0.2,0.05849304352975,0.05271884603685
"21",0,"mrs",0.3,0.3,0.01298757717595,0.02707654473965
"22",0,"mrs",0.3,0.4,0.0201726746338,0.04281013030595
"23",0,"mrs",0.3,0.5,0.03886388527765,0.06456196617995
"24",0,"mrs",0.3,0.6,0.1266081739165,0.1432074200755
"25",0,"mrs",0.3,0.7,0.2075565021825,0.1780891001095
"26",0,"mrs",0.3,0.8,0.141765730376,0.153336761533
"27",0,"mrs",0.3,0.9,0.2710927813005,0.2007302563785
"28",0,"mrs",0.4,0.1,0.1472816671375,0.1770451853885
"29",0,"mrs",0.4,0.2,0.0525464847655,0.11021158022
"30",0,"mrs",0.4,0.3,0.00353132025475,0.0141680930306
"31",0,"mrs",0.4,0.4,0.007652881296965,0.03635039356425
"32",0,"mrs",0.4,0.5,0.005092510110445,0.02574047159455
"33",0,"mrs",0.4,0.6,0.0077255826001,0.0388908329487
"34",0,"mrs",0.4,0.7,0.01561049633255,0.0800400479077
"35",0,"mrs",0.4,0.8,0.0129334919541,0.0521614145743
"36",0,"mrs",0.4,0.9,0.0214291409649,0.0696449345095
"37",0,"mrs",0.5,0.1,0.1586422620465,0.2443565257445
"38",0,"mrs",0.5,0.2,0.06380561462265,0.134144407914
"39",0,"mrs",0.5,0.3,0.0005236551493155,0.008651411797925
"40",0,"mrs",0.5,0.4,0.0006479746372395,0.01290389935985
"41",0,"mrs",0.5,0.5,0.003287038693825,0.02801987566915
"42",0,"mrs",0.5,0.6,0.0002436334666525,0.01067769388475
"43",0,"mrs",0.5,0.7,0.00018507588083605,0.00526919488943
"44",0,"mrs",0.5,0.8,0.01705681387455,0.06621168746015
"45",0,"mrs",0.5,0.9,3.612399268605e-11,1.5342116466125e-11
"46",0,"mrs",0.6,0.1,0.170737667455,0.2834840258495
"47",0,"mrs",0.6,0.2,0.195773920404,0.2002979736425
"48",0,"mrs",0.6,0.3,0.0007223151424105,0.01388939634069
"49",0,"mrs",0.6,0.4,0.00204576739577,0.02341220443865
"50",0,"mrs",0.6,0.5,2.469127139195e-06,0.000774073397996
"51",0,"mrs",0.6,0.6,5.13864506502e-11,2.006422805675e-11
"52",0,"mrs",0.6,0.7,3.17186277243e-11,7.06667247549e-12
"53",0,"mrs",0.6,0.8,9.82401672900665e-07,0.000568563321730801
"54",0,"mrs",0.6,0.9,1.98428551812088e-07,0.000141621304017524
"55",0,"mrs",0.7,0.1,0.02040958666205,0.122066545256
"56",0,"mrs",0.7,0.2,0.1391973536535,0.1687806904785
"57",0,"mrs",0.7,0.3,0.0615731682724,0.1295113895965
"58",0,"mrs",0.7,0.4,0.000221444829549,0.01001655935011
"59",0,"mrs",0.7,0.5,0.001036434101934,0.0189906716551
"60",0,"mrs",0.7,0.6,0.00233429090349,0.03257016492615
"61",0,"mrs",0.7,0.7,2.653433028855e-11,3.802505569645e-12
"62",0,"mrs",0.7,0.8,4.4110493036e-11,8.346335086925e-12
"63",0,"mrs",0.7,0.9,1.86446413863e-11,4.13071484861e-12
"64",0,"mrs",0.8,0.1,0.1043611065391,0.229295430729
"65",0,"mrs",0.8,0.2,0.0223370239305,0.0890432481723
"66",0,"mrs",0.8,0.3,0.0203893825542,0.0662255329469
"67",0,"mrs",0.8,0.4,0.00014577974047825,0.00718187501344
"68",0,"mrs",0.8,0.5,4.86483442046e-05,0.00449162493874
"69",0,"mrs",0.8,0.6,3.63797880709e-11,8.1954443232e-12
"70",0,"mrs",0.8,0.7,4.36557456851e-11,8.07307072944e-12
"71",0,"mrs",0.8,0.8,2.68300937023e-11,6.619893011675e-12
"72",0,"mrs",0.8,0.9,2.09183781408e-11,5.17969544426e-12
"73",0,"mrs",0.9,0.1,0.0778256664746,0.243609181434
"74",0,"mrs",0.9,0.2,0.04350586152655,0.145841107335
"75",0,"mrs",0.9,0.3,0.03322223172755,0.132676573324
