"","trial","m"
"1",1,0.0488976995868456
"2",2,0.359243769433906
"3",3,0.563803363928708
"4",4,0.792544681359417
"5",5,0.908299087428334
"6",6,1.0252535317914
"7",7,1.14245833646367
"8",8,1.17929783006996
"9",9,1.21033764523645
"10",10,1.21033764523645
"11",11,1.21033764523645
"12",12,1.20770118928815
"13",13,1.21033764523645
"14",14,1.20645420772055
"15",15,1.1976394590539
"16",16,1.21033764523645
"17",17,1.21033764523645
"18",18,1.21033764523645
"19",19,1.20339637725131
"20",20,1.21033764523645
"21",21,1.20915856388975
"22",22,1.21033764523645
"23",23,1.21033764523645
"24",24,1.21033764523645
"25",25,1.21033764523645
"26",26,1.21033764523645
"27",27,1.21033764523645
"28",28,1.20107701894634
"29",29,1.21033764523645
"30",30,1.21436362759702
"31",31,1.21436362759702
"32",32,1.21436362759702
"33",33,1.2038596230282
"34",34,1.21436362759702
"35",35,1.21436362759702
"36",36,1.21436362759702
"37",37,1.21436362759702
"38",38,1.21436362759702
"39",39,1.21436362759702
"40",40,1.21436362759702
"41",1,-0.10720734295602
"42",2,0.364040321970004
"43",3,0.75246232146408
"44",4,0.648123482353434
"45",5,0.960614493644359
"46",6,0.939094355823563
"47",7,1.01742513558877
"48",8,1.05508595024228
"49",9,1.09406003476336
"50",10,1.09288370892466
"51",11,1.12895015175206
"52",12,1.12085597915777
"53",13,1.16972918071408
"54",14,1.14037469689915
"55",15,1.15143523205679
"56",16,1.15651286324927
"57",17,1.15628283584214
"58",18,1.18516983991886
"59",19,1.19880474845524
"60",20,1.18769223808469
"61",21,1.19880474845524
"62",22,1.19880474845524
"63",23,1.19609876780696
"64",24,1.19880474845524
"65",25,1.18945707759189
"66",26,1.19880474845524
"67",27,1.18326477179371
"68",28,1.19622084759471
"69",29,1.1724437250217
"70",30,1.18651585696555
"71",31,1.20308877817685
"72",32,1.20308877817685
"73",33,1.20445089654185
"74",34,1.20445089654185
"75",35,1.20445089654185
"76",36,1.19519727411906
"77",37,1.20445089654185
"78",38,1.22081670629288
"79",39,1.222283542421
"80",40,1.222283542421
"81",1,0.0547287301737213
"82",2,0.473085441748677
"83",3,0.819994196504645
"84",4,0.893434775556033
"85",5,1.03481692171945
"86",6,1.13822554493052
"87",7,1.16011827473637
"88",8,1.18096838598369
"89",9,1.22608091953547
"90",10,1.20198142397805
"91",11,1.2127687967351
"92",12,1.22575802444339
"93",13,1.22520135039745
"94",14,1.15089375308393
"95",15,1.21213351521415
"96",16,1.2401333259258
"97",17,1.2401333259258
"98",18,1.2320888042578
"99",19,1.2416535897718
"100",20,1.24080615843959
"101",21,1.2416535897718
"102",22,1.24736927116579
"103",23,1.24736927116579
"104",24,1.24736927116579
"105",25,1.23758843084828
"106",26,1.24736927116579
"107",27,1.24045144350081
"108",28,1.24736927116579
"109",29,1.24736927116579
"110",30,1.260921407587
"111",31,1.260921407587
"112",32,1.260921407587
"113",33,1.260921407587
"114",34,1.260921407587
"115",35,1.260921407587
"116",36,1.260921407587
"117",37,1.260921407587
"118",38,1.260921407587
"119",39,1.260921407587
"120",40,1.2770463003849
"121",1,0.000110812567189253
"122",2,0.334355665689553
"123",3,0.589725946017631
"124",4,0.806138909980778
"125",5,0.898749868247787
"126",6,1.00995879408079
"127",7,1.02060198220226
"128",8,1.06675367835301
"129",9,1.06485806058384
"130",10,1.09278457242903
"131",11,1.12992550333871
"132",12,1.16002116724317
"133",13,1.17474362771166
"134",14,1.14566553681574
"135",15,1.16103487360887
"136",16,1.15377967155319
"137",17,1.16985526966911
"138",18,1.16982378177354
"139",19,1.1829375987697
"140",20,1.1829375987697
"141",21,1.1829375987697
"142",22,1.1829375987697
"143",23,1.1829375987697
"144",24,1.1829375987697
"145",25,1.1829375987697
"146",26,1.1829375987697
"147",27,1.1829375987697
"148",28,1.1829375987697
"149",29,1.18282015310174
"150",30,1.1682638712595
"151",31,1.16592078800333
"152",32,1.1829375987697
"153",33,1.18282015310174
"154",34,1.1829375987697
"155",35,1.17699292308528
"156",36,1.1829375987697
"157",37,1.1829375987697
"158",38,1.18282015310174
"159",39,1.1829375987697
"160",40,1.1829375987697
"161",1,-0.24583991931532
"162",2,0.0416870416037363
"163",3,0.418453300082954
"164",4,0.723174278239843
"165",5,0.878417620405236
"166",6,0.98137221068726
"167",7,0.965661358128894
"168",8,1.07159828436318
"169",9,1.0775041052682
"170",10,1.10509980447062
"171",11,1.12721062321319
"172",12,1.14902940320562
"173",13,1.14705754632272
"174",14,1.14902940320562
"175",15,1.11864705485854
"176",16,1.14466958640508
"177",17,1.1363206173321
"178",18,1.15154750139913
"179",19,1.15021672839983
"180",20,1.15154750139913
"181",21,1.15154750139913
"182",22,1.1638866410776
"183",23,1.1638866410776
"184",24,1.1638866410776
"185",25,1.1638866410776
"186",26,1.1638866410776
"187",27,1.1638866410776
"188",28,1.1638866410776
"189",29,1.1638866410776
"190",30,1.1638866410776
"191",31,1.15812918556289
"192",32,1.16228496797544
"193",33,1.1638866410776
"194",34,1.1638866410776
"195",35,1.1638866410776
"196",36,1.16074610276755
"197",37,1.1638866410776
"198",38,1.1638866410776
"199",39,1.1638866410776
"200",40,1.15550011737775
"201",1,0.0110280808862327
"202",2,0.421023487946642
"203",3,0.677378139553087
"204",4,0.889589794357519
"205",5,0.984907782520499
"206",6,1.07986353351264
"207",7,1.12004284803937
"208",8,1.18312118292636
"209",9,1.1857847794734
"210",10,1.19397393758276
"211",11,1.19962550443216
"212",12,1.21761174278956
"213",13,1.19889643319337
"214",14,1.23777609369466
"215",15,1.23777609369466
"216",16,1.23777609369466
"217",17,1.23777609369466
"218",18,1.22428312668267
"219",19,1.23777609369466
"220",20,1.23484887151117
"221",21,1.23917235288734
"222",22,1.23917235288734
"223",23,1.23917235288734
"224",24,1.23917235288734
"225",25,1.23254205903349
"226",26,1.22677940833643
"227",27,1.24544135878417
"228",28,1.24544135878417
"229",29,1.24544135878417
"230",30,1.24544135878417
"231",31,1.24544135878417
"232",32,1.24544135878417
"233",33,1.24544135878417
"234",34,1.25086987742507
"235",35,1.2389153059969
"236",36,1.25086987742507
"237",37,1.25086987742507
"238",38,1.25086987742507
"239",39,1.25086987742507
"240",40,1.25086987742507
"241",1,0.0821803981793073
"242",2,0.349724454518998
"243",3,0.6288011900815
"244",4,0.838129878219555
"245",5,0.895550394857087
"246",6,0.957454268560822
"247",7,1.01656822173204
"248",8,1.03804254182821
"249",9,1.05109133301832
"250",10,1.10321652446323
"251",11,1.09876189756905
"252",12,1.09306907451335
"253",13,1.10129946462836
"254",14,1.16097643562072
"255",15,1.14583259193331
"256",16,1.19948962272467
"257",17,1.17143383920319
"258",18,1.20320933882101
"259",19,1.20364110896796
"260",20,1.20364110896796
"261",21,1.20366097972214
"262",22,1.18794966204982
"263",23,1.18880407806019
"264",24,1.18276164948595
"265",25,1.2049437922596
"266",26,1.20345668998225
"267",27,1.19710944720401
"268",28,1.20709598508357
"269",29,1.21272379731616
"270",30,1.21272379731616
"271",31,1.2040203675543
"272",32,1.21702767233967
"273",33,1.21702767233967
"274",34,1.2010049599564
"275",35,1.21259869728929
"276",36,1.21702767233967
"277",37,1.21702767233967
"278",38,1.2056633624999
"279",39,1.21702767233967
"280",40,1.21702767233967
"281",1,-0.0365490974784885
"282",2,0.25921126459575
"283",3,0.50981099095836
"284",4,0.646468475870873
"285",5,0.81132131475356
"286",6,0.962029543138443
"287",7,1.03107551906546
"288",8,1.02157944846101
"289",9,1.0923334757294
"290",10,1.08477541656203
"291",11,1.1202981922704
"292",12,1.12994699352411
"293",13,1.14668332551911
"294",14,1.12394676901349
"295",15,1.13006015815522
"296",16,1.13133031663981
"297",17,1.11902297963162
"298",18,1.14927338952876
"299",19,1.16261693220965
"300",20,1.17258820254799
"301",21,1.17258820254799
"302",22,1.17258820254799
"303",23,1.17258820254799
"304",24,1.17258820254799
"305",25,1.17258820254799
"306",26,1.17258820254799
"307",27,1.17258820254799
"308",28,1.17258820254799
"309",29,1.16562521904863
"310",30,1.17258820254799
"311",31,1.16715917895069
"312",32,1.17258820254799
"313",33,1.17258820254799
"314",34,1.16613478423138
"315",35,1.17258820254799
"316",36,1.17258820254799
"317",37,1.16343637097486
"318",38,1.17258820254799
"319",39,1.17258820254799
"320",40,1.17258820254799
"321",1,0.0245689549226688
"322",2,0.165612605410683
"323",3,0.497763204581006
"324",4,0.629277988404421
"325",5,0.583081910922517
"326",6,0.771959682009287
"327",7,0.839057940895902
"328",8,0.889887609852162
"329",9,0.985115853065153
"330",10,0.97415118606323
"331",11,0.989100614121327
"332",12,1.03482240322279
"333",13,1.0255476328898
"334",14,0.998989614613788
"335",15,1.01635773455712
"336",16,1.0399901693008
"337",17,1.04436312124194
"338",18,1.04436312124194
"339",19,1.04436312124194
"340",20,1.04436312124194
"341",21,1.04781482409406
"342",22,1.04781482409406
"343",23,1.04781482409406
"344",24,1.04781482409406
"345",25,1.04781482409406
"346",26,1.04781482409406
"347",27,1.04781482409406
"348",28,1.04781482409406
"349",29,1.04781482409406
"350",30,1.04781482409406
"351",31,1.04781482409406
"352",32,1.04781482409406
"353",33,1.04781482409406
"354",34,1.04781482409406
"355",35,1.04781482409406
"356",36,1.04781482409406
"357",37,1.04781482409406
"358",38,1.03118163522994
"359",39,1.04781482409406
"360",40,1.04781482409406
"361",1,-0.0722782006983072
"362",2,0.349063136336177
"363",3,0.565515708389063
"364",4,0.848190360667961
"365",5,0.913855192905452
"366",6,0.978776400570051
"367",7,1.0683352811412
"368",8,1.05319513737481
"369",9,1.10143251817736
"370",10,1.1716619490978
"371",11,1.1701851394253
"372",12,1.16525853557668
"373",13,1.17289334141723
"374",14,1.19765846497374
"375",15,1.19594882375027
"376",16,1.21826480036241
"377",17,1.2297090421388
"378",18,1.23359073408585
"379",19,1.23514543532061
"380",20,1.24937542623299
"381",21,1.23579913041887
"382",22,1.25032217383841
"383",23,1.25189655436045
"384",24,1.23531427824514
"385",25,1.23409921815221
"386",26,1.2411970357734
"387",27,1.25189655436045
"388",28,1.23136322952513
"389",29,1.24672662856229
"390",30,1.25189655436045
"391",31,1.25189655436045
"392",32,1.25189655436045
"393",33,1.25189655436045
"394",34,1.25636976332415
"395",35,1.25636976332415
"396",36,1.25636976332415
"397",37,1.24665746165498
"398",38,1.25636976332415
"399",39,1.25636976332415
"400",40,1.22324460783013
"401",1,0.0258123225549839
"402",2,0.239353736094304
"403",3,0.514984386367459
"404",4,0.733545832353952
"405",5,0.826511439724725
"406",6,0.905681831069488
"407",7,1.00627752491505
"408",8,1.03699292868942
"409",9,1.05026911464808
"410",10,1.0796247137849
"411",11,1.08546405124647
"412",12,1.06895601922441
"413",13,1.07344990523138
"414",14,1.0433680077799
"415",15,1.09837018064007
"416",16,1.12438514884548
"417",17,1.12290454027695
"418",18,1.1210831782288
"419",19,1.12828147144693
"420",20,1.15541179507818
"421",21,1.15524386562305
"422",22,1.15993589514927
"423",23,1.15993589514927
"424",24,1.15993589514927
"425",25,1.15891234871078
"426",26,1.12641137939945
"427",27,1.15993589514927
"428",28,1.15993589514927
"429",29,1.1562729152045
"430",30,1.15257901363524
"431",31,1.16531363213421
"432",32,1.16531363213421
"433",33,1.16531363213421
"434",34,1.16531363213421
"435",35,1.13739631009082
"436",36,1.16531363213421
"437",37,1.16531363213421
"438",38,1.16692368116845
"439",39,1.16692368116845
"440",40,1.16692368116845
"441",1,-0.0951036101242195
"442",2,0.363018565801198
"443",3,0.635047797266168
"444",4,0.735614809613389
"445",5,0.920866231686094
"446",6,0.956282663893083
"447",7,1.05954832517914
"448",8,1.11220000590379
"449",9,1.11787800218759
"450",10,1.14791572711468
"451",11,1.17284116876301
"452",12,1.18322237318944
"453",13,1.18595324517098
"454",14,1.20147715630441
"455",15,1.20147715630441
"456",16,1.20147715630441
"457",17,1.20147715630441
"458",18,1.20147715630441
"459",19,1.20147715630441
"460",20,1.20147715630441
"461",21,1.20147715630441
"462",22,1.20147715630441
"463",23,1.20147715630441
"464",24,1.20147715630441
"465",25,1.20147715630441
"466",26,1.20147715630441
"467",27,1.20147715630441
"468",28,1.20147715630441
"469",29,1.20147715630441
"470",30,1.20147715630441
"471",31,1.20147715630441
"472",32,1.20147715630441
"473",33,1.20147715630441
"474",34,1.20147715630441
"475",35,1.20147715630441
"476",36,1.20147715630441
"477",37,1.20147715630441
"478",38,1.20147715630441
"479",39,1.20147715630441
"480",40,1.20147715630441
"481",1,-0.0522243665806766
"482",2,0.482599253102276
"483",3,0.718986009079698
"484",4,0.942256412263504
"485",5,0.968155945751877
"486",6,1.04295430346502
"487",7,1.09712605984595
"488",8,1.18871245825076
"489",9,1.21794444921251
"490",10,1.19443282446362
"491",11,1.21430715132726
"492",12,1.22841993331162
"493",13,1.22776241864149
