"","","","","par1","par2"
"cv",20,1,94.6646151870945,-4.99999999999756,-2.66377697270044
"cv",20,2,94.5026606338062,-4.99999999995243,-2.55018395798326
"cv",20,3,93.8693671209812,-4.99999999998821,-2.12760211326104
"cv",20,4,94.3854760003941,-4.99999999999269,-2.44986498163021
"cv",40,1,189.16805808982,-0.377812986019953,-2.0636094422303
"cv",40,2,188.000019893897,-4.99999999999032,-1.04363695386554
"cv",40,3,200.294825548589,-2.91596144464442,-1.88803489239076
"cv",40,4,188.282039943522,-3.38755533093897,-1.15206872390956
