"","","","","par1","par2","par3"
"cv",20,1,94.0730124257433,-0.727474064547358,-1.30867586875886,-4.99663283609211
"cv",20,2,94.0751536578055,-0.136693038767944,-1.19406653084189,-4.99451440962771
"cv",20,3,103.831491329201,-0.259554106908304,-1.27170074061187,-4.9988344040064
"cv",20,4,100.970817373844,-1.2280696634012,2.23765021531842,-2.18171414682115
"cv",40,1,186.88135147827,3.11044727493044,0.177942204491711,-4.51382549979237
"cv",40,2,190.419885827198,2.56309989746241,-0.756829169236204,-4.99506004288467
"cv",40,3,196.273553779593,2.73518286181307,2.55904130410715,-1.9567510355698
"cv",40,4,188.331393418353,2.6224383861818,-0.558488004547574,-4.59134437271557
