"","","","","par1","par2"
"cv",20,1,96.3841822806605,2.44110428101971,-4.99999999967421
"cv",20,2,97.1322125449812,2.38149166219441,-4.9999999966684
"cv",20,3,96.8767169938718,2.42827590907288,-4.99999999995624
"cv",20,4,95.9157884850405,4.99999996927512,4.99999998457461
"cv",40,1,194.417023929653,2.17060876721862,-4.22285927862847
"cv",40,2,194.230647860046,2.25552976673549,-4.35578480977267
"cv",40,3,187.647027144806,2.58376122763353,-4.99999999999129
"cv",40,4,28.6139846088997,2.43852589021374,-4.14167023985579
