"","","","","par1","par2"
"cv",20,1,63.9151912432065,-0.0964608767227301,-2.22268932233564
"cv",20,2,81.1282476182492,-0.141751739809202,-2.32207048789662
"cv",20,3,83.2671117887641,-0.0324265966286508,-2.33386449844113
"cv",20,4,75.1355483177152,-0.0529084733373526,-2.27346547353634
"cv",40,1,148.309502007296,-0.0651334674401552,-2.4706894081369
"cv",40,2,122.731237563827,-0.10539240909999,-2.39896086346674
"cv",40,3,153.175031514076,-0.057371350191282,-2.46941649927497
"cv",40,4,155.316483240238,-0.0868854519641644,-2.50013615152717
