"","","","","par1","par2"
"cv",20,1,57.5418521479444,4.99999999999093,-0.849462601950568
"cv",20,2,66.7253727211483,4.99999999999986,-0.892813835377953
"cv",20,3,62.6548194139466,4.99999999999655,-0.872491766225783
"cv",20,4,48.7332637339169,4.99999999999905,-0.802300466435336
"cv",40,1,104.439816340855,4.99999999999988,-0.98041889353129
"cv",40,2,156.391789469768,4.99999999999848,-1.13390110407009
"cv",40,3,86.7861099696621,4.99999999999719,-0.948939227945406
"cv",40,4,71.1613011930378,4.99999999999966,-0.910108186213534
