"","","","","par1","par2"
"cv",20,1,95.9158115113687,4.99999998994983,4.99999997825585
"cv",20,2,95.9158114527614,4.99999999207428,4.99999999362419
"cv",20,3,95.9158116697918,4.99999999658908,4.99999999322546
"cv",20,4,95.9158116554104,4.99999998908848,4.99999999055385
"cv",40,1,191.831625137676,4.9999999955303,4.99999999527766
"cv",40,2,191.831624785247,4.99999999469553,4.99999999411425
"cv",40,3,191.831624494607,4.99999999372332,4.99999999716274
"cv",40,4,191.831624791785,4.99999999562277,4.99999999969616
