"","","","","par1","par2"
"cv",20,1,74.8811968869095,-2.32131187966308,-4.99447948623642
"cv",20,2,83.6424269290425,-0.649246741086245,-4.99843953756311
"cv",20,3,82.7928166466082,-0.684990889326521,-4.99816728542887
"cv",20,4,83.1194858075552,-0.921840289356746,-4.99159366762103
"cv",40,1,159.675376575695,-0.836932617088449,-4.99455044520278
"cv",40,2,166.42668715994,-0.731426654542219,-4.98460874903424
"cv",40,3,158.859776910632,-0.775930094746264,-4.96288656596
"cv",40,4,167.471897396441,-0.685496591781671,-4.99259098768217
