"","","","","par1","par2"
"cv",20,1,74.6800099634633,1.4047805196598,-0.785975399673037
"cv",20,2,73.1777283511336,0.555796349362406,-0.782552581059941
"cv",20,3,67.8011598372871,1.01359577138182,-0.769859431280057
"cv",20,4,67.9788088392216,1.25067949199676,-0.762527105965249
"cv",40,1,141.204298612737,0.900143594778714,-0.850184912463976
"cv",40,2,126.397555508739,1.19247620408176,-0.794385795691197
"cv",40,3,132.394401758204,0.897681316943942,-0.826133734795759
"cv",40,4,141.204255079777,0.893396525124222,-0.844207034013906
