"","","","","par1","par2","par3"
"cv",20,1,80.6648850580315,-0.059621011408182,-1.29935098006809,-3.02002998261388
"cv",20,2,89.314573020819,-0.17606114559054,-1.08154672966358,-3.24425795634835
"cv",20,3,73.3599391683819,0.0157207167769184,-1.45328815927762,-2.81044293097174
"cv",20,4,74.5672056345242,-0.131108412290314,-1.16334237039051,-3.0394311752733
"cv",40,1,157.920704864879,-0.533256925251822,0.253958001915256,-3.68036529251187
"cv",40,2,164.715583743467,-0.232830029180366,-0.71929754101835,-3.15166836892392
"cv",40,3,162.922190915185,-0.305846210714493,-0.688421292229464,-3.19411025645994
"cv",40,4,168.176798092788,-0.221414955264203,-0.717190630664486,-3.12146266017518
