"","","","","par1","par2"
"cv",20,1,92.3582989157678,0.787114449787302,-3.32414834734003
"cv",20,2,93.0384771805696,0.607227613590414,-3.2725415372107
"cv",20,3,91.2853956429196,0.686913097310258,-3.20493638741246
"cv",20,4,87.6698500260737,0.753549045763055,-3.16830026465896
"cv",40,1,168.605030134942,0.234008160833483,-3.14743588968403
"cv",40,2,164.75396232723,0.24759054642103,-3.0261006313086
"cv",40,3,180.639016370889,0.150954168075377,-3.09299690042698
"cv",40,4,176.69124146692,0.15205767294824,-3.09313855238325
