"","","","","par1","par2"
"cv",20,1,94.0730124257147,-2.88924908739803,-4.86576825885227
"cv",20,2,94.0730124257147,-1.98702288763757,-4.24408568663432
"cv",20,3,94.0730124257147,-1.99571497681537,-4.80533197071202
"cv",20,4,94.0730124257147,-4.02335557670682,-3.71043419608271
"cv",40,1,184.139263695584,-2.16656707873636,-3.65740855774426
"cv",40,2,184.139263695584,-3.40321307099935,-4.09698009336451
"cv",40,3,184.139263695584,-3.0909272392055,-3.97055283571172
"cv",40,4,184.139263695584,-2.00154572358406,-3.64061275741539
