"","","","","par1","par2","par3"
"cv",20,1,99.0794514787484,1.93031266436346,-1.45399402338297,-4.99999359307695
"cv",20,2,86.4223680672149,2.30766309193609,-1.86887991794442,-4.99946348013721
"cv",20,3,42.8424749811756,2.28081257226454,-1.69664508020951,-4.99991562758955
"cv",20,4,96.6684985899615,2.02411864980583,-1.47052880660832,-4.99998123484516
"cv",40,1,174.848175004526,0.923747483728547,-2.85459390303063,-3.17853593203736
"cv",40,2,43.8171549249707,1.10437671875511,-2.08284128330432,-3.41877463954122
"cv",40,3,54.4270732448296,0.980874811158313,-2.54709243451363,-3.15004221176209
"cv",40,4,112.585072832856,1.42631059967914,-1.80460145646506,-3.84202309037495
