id,scenario,kernel,horizon,scale,envOrder,searchHistory,optimaGuess,reward,start,instructionsComplete,end,ExperimentDuration,instructionDuration,age,gender,processDescription
11,1,0,0,"[62,62,72,77,77,62,69,73,80,68,74,69,73,62,72,65]","[33,37,12,36,34,10,30,7,19,26,3,22,28,38,13,18]","{""xcollect"":[[23,10,8,12,9,11],[0,22,12,24,25,26,27,23,16,17,15],[14,15,13,16,12,17],[13,21,24,9,8,10,11,4,3,5,2],[24,15,9,5,4,6],[5,11,16,20,24,27,2,8,13,18,22],[19,7,2,1,0,3],[10,5,14,15,13,12,19,22,23,21,20],[4,9,12,13,14,15],[19,12,15,6,24,25,26,23,27,22,21],[8,11,12,10,13,14],[1,12,6,18,21,22,20,19,23,27,28],[20,21,19,18,17,22],[17,13,10,6,22,26,2,1,3,4,0],[29,7,6,8,9,14],[22,11,6,16,26,2,5,4,7,8,9]],""ycollect"":[[40,86,52,31,58,71],[3,74,20,89,101,102,55,91,76,69,76],[98,95,50,56,33,26],[42,64,12,91,69,73,49,50,44,47,77],[45,6,4,64,31,99],[40,53,52,56,47,54,7,54,56,0,62],[43,17,63,76,74,36],[20,60,71,33,73,38,16,74,37,102,57],[49,55,100,97,97,56],[51,80,77,0,81,99,78,59,53,72,71],[59,101,93,101,77,67],[17,3,52,33,77,41,83,27,-1,100,51],[100,72,97,62,22,40],[39,48,21,61,57,56,82,75,51,52,48],[31,92,7,79,10,60],[76,51,59,39,33,16,78,61,49,73,53]],""ycollectScaled"":[[30,58,37,24,41,49],[7,51,17,60,68,68,39,61,52,48,52],[76,73,41,45,29,24],[37,54,14,75,58,61,43,44,39,41,64],[40,10,8,54,29,81],[30,38,37,40,34,38,9,38,40,5,43],[35,17,48,57,56,30],[20,49,57,29,58,33,17,59,32,79,47],[44,49,85,83,83,50],[40,59,57,5,60,72,58,45,41,54,53],[49,80,74,80,62,55],[17,7,41,28,58,33,62,24,4,74,40],[78,58,76,50,21,34],[29,35,18,43,40,40,56,52,37,37,35],[27,71,10,62,12,48],[54,38,43,30,26,15,56,45,37,52,39]]}","12,51,38",1.15,22/02/2017 17:36:01,22/02/2017 17:37:22,22/02/2017 17:40:41,0:04:40,0:01:21,41,1,once I found a darker shade I filled in all around it.
12,1,0,1,"[76,66,75,69,72,60,74,77,60,74,80,68,76,60,70,69]","[13,32,27,22,1,36,38,16,15,8,25,33,31,18,7,19]","{""xcollect"":[[10,9,11,12,13,14,13,13,23,24,22],[8,10,9,11,22,12],[23,20,26,27,25,24,6,7,2,14,13],[7,9,6,5,21,22],[21,17,25,24,23,11,10,13,14,15,14],[8,9,10,7,18,19],[2,2,3,1,23,21,17,19,13,12,14],[29,29,29,28,18,19],[16,18,15,17,5,4,3,2,25,26,22],[14,16,9,6,5,4],[17,17,18,16,15,2,4,9,8,10,25],[0,1,2,25,16,13],[1,2,0,27,18,17,19,20,9,13,14],[23,22,24,23,15,6],[22,23,21,20,8,14,13,15,3,26,17],[10,11,12,13,12,12]],""ycollect"":[[40,11,54,70,84,61,86,85,86,81,69],[46,90,56,71,36,90],[14,29,51,14,94,57,6,0,80,38,14],[46,45,52,39,77,41],[17,20,34,54,49,32,1,85,87,85,88],[68,91,75,63,99,74],[81,81,53,75,31,70,41,26,48,32,63],[79,80,78,62,48,50],[68,32,41,55,72,90,100,75,38,23,73],[29,26,42,69,76,53],[81,80,35,102,67,47,32,65,55,37,30],[75,75,56,25,49,34],[52,44,55,33,70,64,71,67,0,70,20],[99,77,79,99,-2,60],[73,39,100,55,35,73,71,34,12,29,47],[76,89,101,99,100,100]],""ycollectScaled"":[[35,13,46,58,69,51,70,70,70,67,57],[35,64,42,52,29,64],[16,27,43,16,76,48,10,5,65,34,16],[37,36,41,32,58,33],[17,19,29,44,40,28,6,66,68,66,68],[46,60,50,43,64,49],[65,65,44,61,28,57,35,24,41,29,52],[66,67,65,53,42,44],[46,24,30,38,48,59,65,50,28,19,49],[26,24,36,56,61,44],[70,69,33,87,59,43,31,57,49,35,29],[56,56,43,22,38,28],[45,38,47,30,58,54,59,56,5,58,20],[64,51,52,64,4,41],[56,32,75,44,30,56,55,29,13,25,38],[57,66,75,73,74,74]]}","12,100,74",1.01,22/02/2017 17:22:28,22/02/2017 17:24:52,22/02/2017 17:31:53,0:09:25,0:02:24,31,1,How did you try to increase your performance bonus? I just clicked near the highest number then moved to a random spot in hopes to find a higher number.
13,1,1,0,"[75,73,77,76,69,78,69,75,66,69,78,66,76,79,79,78]","[27,30,7,32,9,12,4,0,29,18,2,19,37,24,1,17]","{""xcollect"":[[5,6,4,18,19,17],[8,7,18,24,13,2,1,0,3,26,28],[4,9,10,8,7,6],[19,8,7,9,10,13,23,24,22,21,2],[1,8,15,22,27,28],[28,5,4,6,12,14,15,16,17,20,21],[1,8,9,10,17,22],[3,11,12,10,9,20,23,26,16,5,1],[28,3,8,14,18,19],[24,25,26,27,13,7,6,5,4,17,1],[1,2,0,29,23,17],[15,8,16,14,9,10,3,23,20,7,6],[12,13,14,15,16,17],[22,23,21,20,19,11,12,10,9,8,7],[1,2,3,14,19,20],[2,3,1,0,19,23,13,8,5,25,27]],""ycollect"":[[79,61,75,85,74,87],[53,38,37,7,2,91,99,99,66,18,25],[33,82,81,93,99,88],[45,74,60,83,63,45,80,67,83,76,0],[37,9,36,0,60,66],[32,71,58,63,17,82,99,88,61,78,100],[74,91,96,83,32,100],[59,92,77,100,92,11,64,51,63,4,73],[25,83,1,11,90,81],[89,97,100,94,51,77,94,89,66,13,24],[98,76,99,22,28,32],[89,83,71,81,88,79,73,21,11,84,94],[50,61,67,71,76,83],[68,61,73,76,74,62,49,77,92,101,91],[68,78,73,53,97,99],[86,72,91,100,3,41,36,16,19,54,76]],""ycollectScaled"":[[64,51,61,69,61,70],[44,33,32,10,6,71,77,77,53,18,23],[30,68,67,77,81,73],[39,61,51,68,53,39,66,56,68,63,5],[31,11,30,5,46,51],[30,60,50,54,18,69,82,74,53,66,83],[56,68,71,62,27,74],[49,74,63,80,74,13,53,43,52,8,60],[22,60,6,12,64,58],[66,72,74,70,40,58,70,66,51,14,22],[81,64,82,22,27,30],[64,60,52,58,63,57,53,19,12,60,67],[43,51,56,59,63,68],[59,53,63,65,63,54,44,66,78,85,77],[59,67,63,47,82,83],[72,61,76,83,7,37,33,17,20,47,64]]}","28,79,67",1.22,22/02/2017 17:22:04,22/02/2017 17:22:50,22/02/2017 17:27:25,0:05:21,0:00:46,25,0,when finding a higher number hit the boxes  click adjacent boxes.  If the number is low click far away
14,1,1,1,"[73,70,63,71,73,69,71,63,64,68,67,79,80,80,66,62]","[28,39,10,6,7,26,2,4,1,37,5,24,38,33,19,36]","{""xcollect"":[[13,12,14,15,16,17,18,11,19,20,21],[3,4,2,1,0,12],[5,4,3,2,1,0,13,14,12,11,10],[15,16,16,14,13,12],[11,10,12,13,14,15,9,8,7,6,5],[0,9,10,10,8,7],[26,14,15,16,17,9,8,7,10,6,0],[15,0,1,2,3,4],[2,3,1,4,5,6,7,8,9,10,14],[5,6,4,7,8,9],[23,10,11,12,13,14,15,16,17,18,19],[10,9,8,7,6,11],[27,26,28,29,25,23,24,22,21,9,10],[21,0,1,2,3,4],[5,6,4,7,8,4,3,9,10,11,12],[20,18,19,21,22,23]],""ycollect"":[[95,75,101,90,81,71,71,49,79,86,98],[60,45,73,80,71,86],[45,60,63,60,53,49,41,43,54,68,67],[88,61,61,100,95,75],[92,77,97,83,51,20,80,92,100,90,60],[16,66,41,43,92,97],[25,42,50,48,31,56,57,26,33,1,100],[0,75,75,86,88,75],[80,75,69,70,73,84,87,75,56,48,53],[87,92,80,100,96,79],[48,11,40,65,80,93,99,92,85,84,76],[76,91,101,90,66,61],[64,60,74,92,63,66,65,47,22,29,11],[-2,79,99,100,92,70],[100,93,90,83,85,90,72,85,79,67,62],[59,60,53,65,46,20]],""ycollectScaled"":[[74,60,79,71,64,57,57,41,63,68,77],[47,37,56,61,55,65],[33,43,45,43,38,36,31,32,39,48,47],[67,48,48,76,72,58],[72,61,76,66,42,20,63,72,78,71,49],[16,51,33,35,68,72],[23,35,41,39,27,45,45,23,28,6,76],[5,52,52,59,60,52],[56,53,49,50,52,59,61,53,41,36,39],[64,68,59,73,70,59],[37,12,32,49,59,67,71,67,62,61,56],[65,77,85,76,57,53],[56,53,64,79,55,58,57,43,23,28,14],[3,68,84,85,79,61],[71,66,64,60,61,64,53,61,57,49,46],[42,42,38,45,34,17]]}","6,24,20",1.2,22/02/2017 17:22:25,22/02/2017 17:23:31,22/02/2017 17:26:34,0:04:09,0:01:06,31,1,By staying by amounts that are over 50 under they started to decrease and then choosing a new area.
15,0,0,0,"[75,71,61,76,63,63,76,75,72,64,60,67,80,78,74,67]","[28,38,33,15,23,25,14,0,2,32,34,29,31,27,21,19]","{""xcollect"":[[20,19,21,18,17,22],[10,16,17,15,14,13,23,22,27,20,6],[9,11,10,13,12,19],[5,6,4,3,2,0,2,1,7,8,9],[10,4,17,18,15,16],[26,12,6,3,5,7,8,9,2,10,4],[8,7,9,10,11,12],[23,24,24,24,24,22,22,21,20,23,24],[14,12,5,4,3,6],[24,23,25,17,14,10,9,11,7,12,14],[5,15,21,9,3,4],[25,26,24,23,27,15,10,6,9,8,7],[3,7,3,4,6,5],[13,11,10,9,12,21,20,17,16,18,15],[25,21,7,6,9,8],[8,23,16,8,7,5,4,6,12,12,12]],""ycollect"":[[99,96,71,63,24,43],[23,71,39,92,66,48,33,56,54,20,62],[55,70,88,36,32,27],[72,75,87,101,73,99,74,94,66,60,80],[42,50,66,53,83,88],[29,15,73,57,28,78,56,65,47,38,31],[63,43,59,46,34,57],[72,91,89,91,89,92,94,55,72,72,90],[19,21,63,33,21,94],[87,76,45,68,49,87,57,72,52,88,52],[64,8,3,0,42,29],[100,82,53,39,35,24,75,69,65,70,61],[48,45,50,99,62,98],[15,95,46,34,60,18,28,100,75,83,63],[33,26,100,58,55,83],[52,0,50,53,50,40,49,26,100,99,100]],""ycollectScaled"":[[79,77,58,52,23,37],[21,55,33,70,52,39,28,45,43,19,49],[39,48,59,27,25,21],[60,62,71,82,60,80,61,76,55,51,66],[31,37,47,38,57,60],[23,14,51,41,23,54,40,46,35,29,25],[53,38,50,40,31,48],[59,73,72,73,72,74,76,46,59,59,73],[19,20,50,29,20,73],[61,54,34,49,36,61,41,51,38,61,38],[43,10,7,5,30,22],[72,60,41,31,28,21,55,51,49,52,46],[43,41,45,84,55,83],[17,79,41,32,52,19,27,83,64,70,54],[29,24,79,48,46,66],[40,5,39,41,39,32,38,22,72,71,72]]}","12,101,73",1.05,22/02/2017 17:41:54,22/02/2017 17:43:21,22/02/2017 17:46:14,0:04:20,0:01:27,35,1,I tried to click in areas with big numbers
16,0,1,0,"[71,61,76,64,64,76,78,67,67,73,76,76,65,72,73,65]","[36,24,37,6,25,8,30,11,17,2,20,4,21,1,27,13]","{""xcollect"":[[10,6,7,23,8,9],[12,11,4,8,9,7,6,10,19,20,22],[19,18,17,16,20,21],[6,22,14,13,15,12,16,11,1,17,10],[9,8,7,6,5,22],[9,10,8,7,11,12,6,13,14,5,4],[23,9,8,10,11,12],[12,16,19,22,17,15,18,14,13,11,10],[0,1,2,3,4,5],[0,1,2,3,4,5,22,21,20,23,12],[14,25,24,26,23,22],[7,8,9,10,11,6,5,4,3,2,1],[3,4,2,1,0,5],[24,23,25,26,22,20,21,19,18,17,16],[25,24,26,27,28,23],[20,7,14,13,15,16,27,28,29,26,25]],""ycollect"":[[94,25,39,19,65,85],[48,59,9,101,92,91,65,75,74,76,67],[83,87,85,75,77,75],[20,19,100,96,85,75,62,45,5,31,23],[63,66,65,65,63,4],[99,96,96,82,86,75,67,60,54,49,36],[5,64,54,62,42,17],[48,52,52,0,52,49,53,52,55,34,31],[100,93,86,72,48,18],[100,99,75,53,34,5,44,48,30,25,15],[16,54,57,47,64,79],[84,93,96,83,60,74,67,75,88,86,76],[81,69,91,96,87,57],[94,95,76,44,91,99,96,95,87,83,74],[93,77,101,92,69,67],[23,26,54,42,55,47,99,90,78,100,82]],""ycollectScaled"":[[72,23,33,18,51,65],[34,41,10,67,61,61,45,51,50,51,46],[68,71,70,62,64,62],[18,17,69,66,59,53,45,34,8,25,20],[45,47,47,47,45,8],[80,78,78,67,70,62,56,51,46,42,32],[9,55,47,53,38,18],[37,40,40,5,40,38,41,40,42,28,26],[72,67,63,53,37,17],[78,77,60,44,30,9,37,40,27,23,16],[17,46,48,41,54,65],[69,76,78,68,51,61,56,62,72,70,63],[58,50,64,67,62,42],[73,73,60,37,71,76,74,73,68,65,58],[73,61,79,72,55,54],[20,22,40,32,41,36,69,64,56,70,58]]}","17,40,31",1.13,22/02/2017 17:22:18,22/02/2017 17:24:15,22/02/2017 17:29:59,0:07:41,0:01:57,52,1,I searched for a area with high value boxes and clicked in that area.
17,0,1,1,"[80,73,62,71,62,65,69,60,66,66,73,60,73,64,70,77]","[3,29,20,8,28,23,5,12,1,33,15,39,38,7,22,35]","{""xcollect"":[[1,6,7,8,9,10,11,12,13,14,15],[6,22,23,24,20,19],[26,5,15,16,18,19,20,21,22,17,23],[6,7,8,9,10,11],[22,23,21,20,19,18,24,25,26,5,7],[29,28,27,26,25,24],[10,24,25,21,22,23,3,14,15,16,17],[21,22,20,23,24,19],[0,19,20,21,22,23,24,25,18,17,16],[17,4,5,3,2,1],[14,4,3,5,6,7,8,2,1,9,10],[3,21,6,11,12,13],[17,18,16,15,14,13,12,23,24,25,27],[7,8,6,5,9,10],[10,11,12,13,9,8,7,22,3,27,17],[29,6,7,8,9,5]],""ycollect"":[[9,47,56,52,48,60,79,100,99,72,30],[31,59,56,34,68,84],[48,14,24,44,86,99,99,92,77,65,63],[68,83,96,100,95,85],[100,91,96,88,78,72,71,52,35,48,15],[71,91,99,82,45,20],[11,53,50,37,39,48,43,92,100,93,85],[99,93,77,63,42,51],[53,97,100,98,91,94,96,78,87,80,74],[49,71,35,91,99,101],[42,87,73,100,97,79,58,56,44,50,49],[58,1,30,68,88,102],[79,50,99,99,76,37,5,66,67,63,64],[100,95,90,61,81,79],[101,97,80,52,94,76,42,12,16,39,25],[5,56,56,53,38,49]],""ycollectScaled"":[[12,43,50,47,43,53,68,85,84,63,29],[28,48,46,30,55,66],[35,14,20,32,58,66,66,62,53,45,44],[53,64,73,76,72,65],[67,61,65,60,53,50,49,37,27,35,14],[51,64,69,58,34,18],[13,42,40,31,32,38,35,68,74,69,64],[64,61,51,43,30,36],[40,69,71,70,65,67,68,56,62,58,54],[37,52,28,65,70,72],[36,69,58,78,76,63,47,46,37,42,41],[40,6,23,46,58,66],[63,42,77,77,60,32,9,53,54,51,52],[69,66,63,44,57,56],[76,73,61,41,71,58,34,13,16,32,23],[9,48,48,46,34,43]]}","19,97,80",1.17,22/02/2017 17:33:38,22/02/2017 17:34:40,22/02/2017 17:38:50,0:05:12,0:01:02,28,1,I clicked on whatever box I felt like would be highest in value. If I was unsure of which box would be high in value I would choose a box in between the last cell and a cell having a lower value to increase my chances of clicking on a cell with a higher value.
18,1,0,0,"[67,69,70,71,78,70,67,80,61,63,79,79,60,63,65,64]","[25,18,22,28,36,7,3,16,1,9,8,13,39,5,27,29]","{""xcollect"":[[0,1,2,3,4,8],[18,17,16,11,8,7,9,4,3,5,6],[0,5,10,16,17,15],[23,15,11,8,7,9,5,2,19,20,21],[25,12,9,8,10,5],[12,16,20,22,24,27,9,5,21,23,18],[12,10,11,13,9,4],[21,20,22,23,24,27,14,15,13,12,8],[5,9,13,16,14,15],[3,14,4,2,5,21,22,22,20,19,25],[0,16,22,25,26,24],[29,13,12,14,7,8,6,20,23,24,22],[27,13,18,22,25,7],[19,9,13,25,23,21,3,5,11,17,16],[6,8,13,20,24,25],[28,16,6,11,2,3,1,9,12,20,21]],""ycollect"":[[51,36,45,58,31,55],[42,72,39,52,72,48,53,61,41,78,59],[21,42,46,90,67,60],[15,32,44,96,81,66,18,2,97,101,74],[29,45,91,70,73,45],[36,28,57,72,42,24,7,60,100,36,36],[94,99,100,79,67,39],[97,75,94,101,73,28,92,71,98,86,79],[29,37,86,68,85,87],[79,63,93,59,73,83,65,66,102,68,79],[12,25,1,86,54,99],[29,86,72,62,94,81,9,24,85,82,70],[48,31,26,57,65,61],[76,73,51,68,27,56,74,61,58,61,50],[5,21,14,31,57,95],[18,52,69,63,70,63,60,63,60,81,89]],""ycollectScaled"":[[39,29,35,44,26,42],[34,55,32,41,55,38,42,47,33,59,46],[20,34,37,68,52,47],[16,28,36,73,63,52,18,6,74,77,58],[28,40,76,60,62,40],[30,25,45,55,34,22,10,47,75,30,30],[68,71,72,58,50,31],[83,65,80,86,63,27,79,62,83,74,68],[23,28,57,46,57,58],[55,45,64,42,51,57,46,47,69,48,55],[14,25,6,73,48,83],[28,73,62,54,79,69,12,24,72,70,60],[34,24,21,39,44,42],[53,51,37,48,22,40,52,43,42,43,37],[8,19,14,25,42,67],[17,38,49,45,50,45,43,45,43,57,62]]}","23,41,31",1.06,22/02/2017 17:23:23,22/02/2017 17:24:38,22/02/2017 17:28:42,0:05:19,0:01:15,25,1,"I searched every few spaces all over the board evenly until I came across a large number, then I focused on adjacent squares."
19,1,0,1,"[73,80,76,80,75,76,64,76,66,62,67,75,69,70,68,60]","[2,9,8,3,35,38,5,7,10,34,26,12,15,14,39,29]","{""xcollect"":[[1,2,11,15,21,7,26,23,17,12,28],[5,16,21,2,27,29],[15,19,9,27,24,21,5,3,1,25,16],[7,15,19,26,28,23],[6,14,18,20,16,24,28,21,17,19,15],[15,12,13,16,17,19],[16,19,25,29,22,10,6,3,10,12,11],[21,20,23,26,16,11],[8,11,15,20,23,18,13,17,10,5,1],[26,15,11,7,21,24],[17,16,20,23,12,7,5,9,14,18,23],[13,14,18,21,9,15],[13,16,14,7,4,10,12,8,9,11,15],[10,11,12,13,7,2],[3,18,21,25,28,9,12,16,15,12,17],[4,9,13,18,22,27]],""ycollect"":[[59,27,21,-1,44,101,47,38,55,24,41],[73,40,83,61,74,96],[15,83,40,23,98,10,75,87,78,87,26],[47,24,-1,35,62,39],[84,80,100,82,98,2,32,72,82,99,95],[93,32,48,68,40,25],[50,77,67,16,41,99,61,73,99,26,57],[98,58,38,29,30,38],[51,55,99,57,65,-1,56,15,100,41,13],[62,7,28,83,4,43],[54,73,45,57,79,3,13,25,51,36,60],[50,102,43,32,39,94],[7,69,0,61,88,100,44,59,78,88,41],[44,35,56,17,45,20],[53,26,46,65,27,63,53,99,67,52,64],[78,65,37,70,57,34]],""ycollectScaled"":[[48,25,20,4,37,79,39,33,45,23,35],[63,37,71,54,64,82],[16,68,35,22,79,13,62,71,64,71,25],[43,24,4,33,55,36],[68,65,80,67,79,7,29,59,67,79,76],[76,29,41,57,35,24],[37,54,48,15,31,68,44,52,68,22,41],[79,49,34,27,28,34],[39,41,70,43,48,4,42,15,71,32,14],[43,9,22,56,7,32],[41,54,35,43,58,7,14,22,39,29,45],[43,82,37,29,34,76],[10,53,5,47,66,74,35,46,59,66,33],[36,30,44,17,37,19],[41,23,36,49,23,48,41,72,51,40,49],[52,44,27,47,39,25]]}","10,74,49",1.12,22/02/2017 17:39:47,22/02/2017 17:41:58,22/02/2017 17:44:09,0:04:22,0:02:11,35,1,based on what i saw
20,1,1,0,"[77,69,79,71,75,68,61,75,64,69,64,64,78,71,62,73]","[13,26,35,25,10,22,11,23,36,30,29,8,14,21,2,27]","{""xcollect"":[[3,4,5,2,0,1],[24,8,6,7,10,9,5,2,17,18,19],[22,21,20,19,18,17],[4,20,11,7,1,0,2,3,5,27,28],[7,17,18,19,16,15],[25,5,3,1,15,13,14,11,10,9,7],[22,3,2,8,11,15],[6,17,20,21,19,18,22,15,11,10,26],[4,19,21,11,10,9],[10,19,20,5,3,1,0,2,4,14,16],[0,12,15,19,20,21],[11,21,10,9,8,7,12,6,13,14,15],[6,26,25,22,19,16],[3,4,2,1,0,5,6,10,13,16,19],[2,3,1,0,12,6],[21,0,10,13,17,18,19,20,16,15,14]],""ycollect"":[[75,77,71,74,70,76],[13,91,75,97,44,66,50,35,91,99,87],[74,91,99,94,86,75],[71,6,55,67,100,90,98,86,63,63,39],[35,97,92,63,91,67],[15,0,14,8,17,51,28,96,101,92,42],[0,70,70,59,34,49],[35,51,82,54,85,68,26,56,37,16,82],[48,55,63,100,94,84],[60,39,25,30,68,100,100,90,42,1,20],[15,35,10,82,66,57],[86,63,96,100,95,84,76,67,62,52,49],[0,53,73,48,60,42],[81,70,93,97,84,56,46,2,15,27,99],[75,55,99,100,15,1],[59,15,54,67,87,83,73,63,79,73,69]],""ycollectScaled"":[[63,64,60,62,59,64],[14,68,57,72,35,51,40,29,68,73,65],[63,77,83,79,73,64],[55,9,44,53,76,69,75,66,50,50,33],[31,78,74,52,73,55],[15,5,15,10,17,40,24,70,74,68,34],[5,48,48,41,26,35],[31,43,67,46,69,56,25,47,33,17,67],[36,40,45,69,65,59],[46,32,22,26,52,74,74,67,34,6,19],[15,27,11,57,47,41],[60,45,66,69,66,59,54,48,45,38,36],[5,46,62,42,52,38],[63,55,71,74,65,45,38,6,16,24,75],[52,39,66,67,14,6],[48,16,44,54,69,66,58,51,63,58,55]]}","17,85,67",1.16,22/02/2017 17:27:17,22/02/2017 17:30:53,22/02/2017 17:35:52,0:08:35,0:03:36,20,1,I tried to follow the groupings and played it similar to a reverse minesweeper.
21,1,1,1,"[72,74,66,64,80,74,68,68,71,75,62,79,62,65,75,77]","[4,18,16,0,2,38,36,29,27,30,8,37,39,24,15,35]","{""xcollect"":[[21,21,20,10,11,9,8,8,6,0,3],[19,8,6,5,7,4],[0,6,12,18,25,11,14,15,13,24,22],[19,8,6,10,11,9],[19,8,9,7,10,0,1,2,29,25,23],[23,5,6,4,20,25],[29,8,6,10,11,12,20,26,18,22,21],[4,3,6,5,18,17],[17,15,20,18,19,7,3,27,28,26,25],[22,7,3,1,0,2],[3,9,10,8,19,22,17,28,14,12,7],[8,9,7,6,23,19],[7,18,21,15,14,13,12,27,25,1,0],[11,18,5,15,22,21],[11,4,3,5,6,7,26,21,20,19,24],[26,8,7,10,1,0]],""ycollect"":[[95,96,88,84,59,96,92,94,73,74,87],[0,48,92,90,75,67],[33,40,65,19,45,41,100,82,94,73,75],[6,65,-1,101,91,92],[5,55,55,26,31,99,97,75,21,14,25],[63,94,84,87,11,61],[55,65,23,95,100,93,62,38,61,49,63],[101,85,32,80,90,71],[85,73,63,85,74,37,49,93,72,101,92],[3,38,67,98,101,90],[25,99,94,95,56,54,43,31,50,74,84],[99,81,101,92,65,83],[31,61,3,93,101,102,86,38,22,79,71],[59,65,35,27,67,73],[56,88,72,99,98,79,25,93,97,90,42],[46,53,55,20,82,98]],""ycollectScaled"":[[73,74,68,65,47,74,71,73,58,58,68],[5,41,73,72,61,55],[27,31,48,18,35,32,71,59,67,53,55],[9,47,4,70,63,64],[9,49,49,26,30,84,83,65,22,16,25],[52,75,67,69,13,50],[42,49,21,70,73,68,47,31,46,38,48],[74,63,27,59,66,53],[65,57,50,65,58,31,40,71,56,77,70],[7,34,55,79,81,73],[21,66,63,64,40,38,32,24,36,51,57],[83,69,85,78,56,71],[24,43,7,63,68,68,58,29,19,54,49],[43,47,28,23,49,52],[47,71,59,79,79,64,24,75,78,73,37],[40,46,47,20,68,80]]}","2,47,41",1.35,22/02/2017 17:22:39,22/02/2017 17:24:19,22/02/2017 17:29:31,0:06:52,0:01:40,21,1,"If the first box was very low, I tried a far box. If same value box appeared, I tried something in the middle."
22,0,0,0,"[60,66,61,70,61,66,63,76,64,71,78,78,74,74,80,69]","[10,6,16,33,8,30,38,5,24,26,15,32,13,18,21,39]","{""xcollect"":[[24,4,11,17,12,10],[25,24,23,26,18,17,16,19,11,10,9],[26,15,14,13,12,11],[9,10,11,12,8,7,6,23,17,16,18],[2,3,1,0,4,5],[0,1,2,3,9,10,8,11,12,13,20],[3,11,22,21,20,23],[0,5,6,7,8,9,10,11,12,4,3],[26,18,17,19,20,21],[9,18,25,26,24,23,3,14,13,15,16],[2,3,4,5,6,7],[6,12,13,14,11,10,9,22,18,17,19],[0,1,2,3,4,14],[27,21,16,12,9,6,3,13,11,10,24],[3,4,5,2,15,16],[7,8,9,10,6,5,4,3,18,25,24]],""ycollect"":[[47,29,55,14,44,98],[96,101,66,48,83,100,67,48,76,88,70],[35,72,91,96,86,81],[58,87,71,30,52,67,37,41,75,48,61],[97,85,79,13,54,76],[73,78,64,37,91,76,36,67,80,40,59],[52,2,59,72,19,32],[14,62,60,81,79,73,100,59,22,72,76],[1,100,60,90,78,61],[25,39,101,80,81,60,38,52,41,75,72],[75,101,86,71,75,63],[34,88,87,50,73,90,56,38,72,68,97],[86,76,64,47,30,63],[41,36,41,53,52,59,40,35,51,43,78],[45,52,40,34,56,61],[59,64,62,54,53,75,70,54,25,64,33]],""ycollectScaled"":[[33,22,38,13,31,64],[68,72,49,37,60,71,49,37,55,63,51],[26,49,61,64,57,54],[46,66,55,26,41,52,31,34,58,39,48],[64,57,53,13,38,51],[53,56,47,29,65,55,29,49,58,31,44],[38,6,42,50,17,25],[16,52,51,67,65,60,81,50,22,60,63],[6,69,43,63,55,44],[23,33,77,62,63,48,32,42,34,58,56],[64,84,72,60,64,54],[32,74,73,44,62,75,49,35,61,58,81],[69,61,52,40,27,52],[35,32,35,44,43,49,35,31,43,37,63],[41,47,37,32,50,54],[46,49,48,42,42,57,53,42,22,49,28]]}","26,71,54",1.09,22/02/2017 17:22:33,22/02/2017 17:24:14,22/02/2017 17:30:27,0:07:54,0:01:41,55,1,"How did you try to increase your performance bonus? When I saw a dark box, I clicked next to it until I came to a light box, then I explored a different area."
