"","id","trial","x","y","ymax","kernel","scenario","horizon","round","reward","experimentDuration","instructionsDuration","env","overall","Horizon","tau","lambda","beta"
"31",1,8,21,100,0.52,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,4,"Long",0.0232792911841444,0.569112581075064,0.504413358607311
"32",1,9,21,100,0.52,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,4,"Long",0.0232792911841444,0.569112581075064,0.504413358607311
"33",1,10,21,100,0.52,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,4,"Long",0.0232792911841444,0.569112581075064,0.504413358607311
"34",1,11,21,100,0.52,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,4,"Long",0.0232792911841444,0.569112581075064,0.504413358607311
"35",1,1,21,7.12173276947763,-0.21,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,"Short",0.00673795462986105,0.465779171872816,0.489583180090223
"36",1,2,29,39.8492701899542,0.02,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,"Short",0.00673795462986105,0.465779171872816,0.489583180090223
"37",1,3,13,26.1899730598923,0.05,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,"Short",0.00673795462986105,0.465779171872816,0.489583180090223
"38",1,4,26,72.6394902294395,0.05,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,"Short",0.00673795462986105,0.465779171872816,0.489583180090223
"39",1,5,26,72.6394902294395,0.05,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,"Short",0.00673795462986105,0.465779171872816,0.489583180090223
"40",1,6,26,72.6394902294395,0.11,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,"Short",0.00673795462986105,0.465779171872816,0.489583180090223
"41",1,1,10,28.0161836202945,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.00733626072700877,0.434496243812527,0.555931380715688
"42",1,2,29,0,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.00733626072700877,0.434496243812527,0.555931380715688
"43",1,3,22,93.945125331065,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.00733626072700877,0.434496243812527,0.555931380715688
"44",1,4,22,93.945125331065,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.00733626072700877,0.434496243812527,0.555931380715688
"45",1,5,22,93.945125331065,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.00733626072700877,0.434496243812527,0.555931380715688
"46",1,6,22,93.945125331065,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.00733626072700877,0.434496243812527,0.555931380715688
"47",1,7,22,93.945125331065,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.00733626072700877,0.434496243812527,0.555931380715688
"48",1,8,22,93.945125331065,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.00733626072700877,0.434496243812527,0.555931380715688
"49",1,9,22,93.945125331065,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.00733626072700877,0.434496243812527,0.555931380715688
"50",1,10,22,93.945125331065,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.00733626072700877,0.434496243812527,0.555931380715688
"51",1,11,22,93.945125331065,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.00733626072700877,0.434496243812527,0.555931380715688
"52",1,1,27,7.56578929854357,-0.04,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,"Short",0.00673794756384835,0.46602045992718,0.466331908329137
"53",1,2,10,57.3711095576146,0.14,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,"Short",0.00673794756384835,0.46602045992718,0.466331908329137
"54",1,3,19,23.4366530040937,0.49,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,"Short",0.00673794756384835,0.46602045992718,0.466331908329137
"55",1,4,22,4.81441058193281,0.49,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,"Short",0.00673794756384835,0.46602045992718,0.466331908329137
"56",1,5,14,45.6714789690199,0.49,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,"Short",0.00673794756384835,0.46602045992718,0.466331908329137
"57",1,6,11,55.2274379194627,0.49,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,"Short",0.00673794756384835,0.46602045992718,0.466331908329137
"58",1,1,3,29.2858175396077,0.49,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0240630974028583,0.580311844570334,0.504585743108398
"59",1,2,22,0,0.49,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0240630974028583,0.580311844570334,0.504585743108398
