"","id","trial","x","y","ymax","kernel","scenario","horizon","round","reward","experimentDuration","instructionsDuration","env","overall","Horizon","tau","kError","lambda","beta"
"29",1,6,28,13.9399394179956,0.52,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241
"30",1,7,24,5.66191767865794,0.52,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241
"31",1,8,18,0,0.52,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241
"32",1,9,6,13.1201224683354,0.52,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241
"33",1,10,19,8.25698068096695,0.52,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241
"34",1,11,8,41.5513176035796,0.52,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241
"35",1,1,19,28.3916761258917,-0.21,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,"Short",0.0581555989309133,3.38631210228124,NA,0.359573164626574
"36",1,2,24,59.7601228806498,0.02,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,"Short",0.0581555989309133,3.38631210228124,NA,0.359573164626574
"37",1,3,9,39.3611235873401,0.05,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,"Short",0.0581555989309133,3.38631210228124,NA,0.359573164626574
"38",1,4,12,31.510488315399,0.05,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,"Short",0.0581555989309133,3.38631210228124,NA,0.359573164626574
"39",1,5,11,28.831430344688,0.05,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,"Short",0.0581555989309133,3.38631210228124,NA,0.359573164626574
"40",1,6,5,33.1187677120427,0.11,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,"Short",0.0581555989309133,3.38631210228124,NA,0.359573164626574
"41",1,1,10,28.0161836202945,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224
"42",1,2,1,26.7239012735619,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224
"43",1,3,21,100,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224
"44",1,4,5,70.675631071071,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224
