"","id","trial","x","y","ymax","kernel","scenario","horizon","round","reward","experimentDuration","instructionsDuration","env","delta_x","overall","Horizon","tau","kError","lambda","beta","Model"
"30",1,7,24,57.3102835629435,69.2300066185932,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,7,4,"Long",0.0232792911841444,NA,0.569112581075064,0.504413358607311,"GP"
"31",1,8,10,19.4932006688747,69.2300066185932,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,3,4,"Long",0.0232792911841444,NA,0.569112581075064,0.504413358607311,"GP"
"32",1,9,23,57.6806671154006,69.2300066185932,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,14,4,"Long",0.0232792911841444,NA,0.569112581075064,0.504413358607311,"GP"
"33",1,10,27,34.0026640617834,69.2300066185932,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,1,4,"Long",0.0232792911841444,NA,0.569112581075064,0.504413358607311,"GP"
"34",1,11,25,69.2300066185932,69.2300066185932,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,2,4,"Long",0.0232792911841444,NA,0.569112581075064,0.504413358607311,"GP"
"35",1,1,17,73.2990337657909,73.2990337657909,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,NA,5,"Short",0.00673795462986105,NA,0.465779171872816,0.489583180090223,"GP"
"36",1,2,2,55.2864987400753,73.2990337657909,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,11,5,"Short",0.00673795462986105,NA,0.465779171872816,0.489583180090223,"GP"
"37",1,3,17,73.2990337657909,73.2990337657909,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,5,"Short",0.00673795462986105,NA,0.465779171872816,0.489583180090223,"GP"
"38",1,4,17,73.2990337657909,73.2990337657909,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,21,5,"Short",0.00673795462986105,NA,0.465779171872816,0.489583180090223,"GP"
"39",1,5,17,73.2990337657909,73.2990337657909,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,5,"Short",0.00673795462986105,NA,0.465779171872816,0.489583180090223,"GP"
"40",1,6,17,73.2990337657909,73.2990337657909,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,14,5,"Short",0.00673795462986105,NA,0.465779171872816,0.489583180090223,"GP"
"41",1,1,27,8.38380014718469,8.38380014718469,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,NA,6,"Long",0.00733626072700877,NA,0.434496243812527,0.555931380715688,"GP"
"42",1,2,2,10.4270665063755,10.4270665063755,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,7,6,"Long",0.00733626072700877,NA,0.434496243812527,0.555931380715688,"GP"
"43",1,3,22,37.7659215131719,37.7659215131719,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,5,6,"Long",0.00733626072700877,NA,0.434496243812527,0.555931380715688,"GP"
"44",1,4,10,28.0161836202945,37.7659215131719,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,17,6,"Long",0.00733626072700877,NA,0.434496243812527,0.555931380715688,"GP"
"45",1,5,21,32.6543036446069,37.7659215131719,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,5,6,"Long",0.00733626072700877,NA,0.434496243812527,0.555931380715688,"GP"
"46",1,6,19,27.7150927116534,37.7659215131719,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,25,6,"Long",0.00733626072700877,NA,0.434496243812527,0.555931380715688,"GP"
"47",1,7,15,93.9796631226451,93.9796631226451,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,5,6,"Long",0.00733626072700877,NA,0.434496243812527,0.555931380715688,"GP"
"48",1,8,15,93.9796631226451,93.9796631226451,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,6,"Long",0.00733626072700877,NA,0.434496243812527,0.555931380715688,"GP"
"49",1,9,15,93.9796631226451,93.9796631226451,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,6,"Long",0.00733626072700877,NA,0.434496243812527,0.555931380715688,"GP"
"50",1,10,15,93.9796631226451,93.9796631226451,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,5,6,"Long",0.00733626072700877,NA,0.434496243812527,0.555931380715688,"GP"
"51",1,11,15,93.9796631226451,93.9796631226451,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,6,"Long",0.00733626072700877,NA,0.434496243812527,0.555931380715688,"GP"
"52",1,1,6,70.4043389784485,70.4043389784485,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,NA,7,"Short",0.00673794756384835,NA,0.46602045992718,0.466331908329137,"GP"
"53",1,2,2,45.9426617545191,70.4043389784485,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,7,"Short",0.00673794756384835,NA,0.46602045992718,0.466331908329137,"GP"
"54",1,3,6,70.4043389784485,70.4043389784485,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,7,"Short",0.00673794756384835,NA,0.46602045992718,0.466331908329137,"GP"
"55",1,4,6,70.4043389784485,70.4043389784485,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,1,7,"Short",0.00673794756384835,NA,0.46602045992718,0.466331908329137,"GP"
"56",1,5,6,70.4043389784485,70.4043389784485,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,2,7,"Short",0.00673794756384835,NA,0.46602045992718,0.466331908329137,"GP"
"57",1,6,6,70.4043389784485,70.4043389784485,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,2,7,"Short",0.00673794756384835,NA,0.46602045992718,0.466331908329137,"GP"
"58",1,1,22,64.0682095814366,64.0682095814366,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,NA,8,"Long",0.0240630974028583,NA,0.580311844570334,0.504585743108398,"GP"
"59",1,2,11,53.8931818389912,64.0682095814366,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,1,8,"Long",0.0240630974028583,NA,0.580311844570334,0.504585743108398,"GP"
"60",1,3,2,9.55134213624245,64.0682095814366,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,2,8,"Long",0.0240630974028583,NA,0.580311844570334,0.504585743108398,"GP"
"61",1,4,6,55.0368562871112,64.0682095814366,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,3,8,"Long",0.0240630974028583,NA,0.580311844570334,0.504585743108398,"GP"
"62",1,5,0,37.5501485556344,64.0682095814366,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,4,8,"Long",0.0240630974028583,NA,0.580311844570334,0.504585743108398,"GP"
"63",1,6,5,42.3568279650102,64.0682095814366,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,1,8,"Long",0.0240630974028583,NA,0.580311844570334,0.504585743108398,"GP"
"64",1,7,7,39.3429452070033,64.0682095814366,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,2,8,"Long",0.0240630974028583,NA,0.580311844570334,0.504585743108398,"GP"
"65",1,8,17,14.9399664095403,64.0682095814366,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,5,8,"Long",0.0240630974028583,NA,0.580311844570334,0.504585743108398,"GP"
"66",1,9,22,64.0682095814366,64.0682095814366,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,4,8,"Long",0.0240630974028583,NA,0.580311844570334,0.504585743108398,"GP"
"67",1,10,9,96.3141049863385,96.3141049863385,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,4,8,"Long",0.0240630974028583,NA,0.580311844570334,0.504585743108398,"GP"
"68",1,11,23,64.2809252510699,96.3141049863385,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,25,8,"Long",0.0240630974028583,NA,0.580311844570334,0.504585743108398,"GP"
