"","","","","par1","par2"
"cv",20,1,44.9708730470687,-2.9994075279595,-1.66937042414941
"cv",20,2,90.8573213036308,-2.96657303106889,-1.88560692402626
"cv",20,3,59.1408235096218,-3.00878655886104,-1.72817931560337
"cv",20,4,51.2026356174743,-3.0083756064542,-1.71046688699045
"cv",40,1,151.424219904301,-0.523074489206155,-1.75811706793486
"cv",40,2,130.690050102608,-0.581740422859664,-1.7219026527851
"cv",40,3,77.0674610200432,-0.389940342920356,-1.59835762167622
"cv",40,4,164.007783436599,-0.621610338444419,-1.78563203163536
