"","","","","par1","par2"
"cv",20,1,95.9158113374262,4.99999999688142,4.99999999166694
"cv",20,2,95.9158109432925,4.99999999544851,4.9999999848994
"cv",20,3,95.915811570724,4.99999999304273,4.99999999396696
"cv",20,4,95.9158123268577,4.99999999889658,4.9999999946087
"cv",40,1,191.831624163002,4.99999999969095,4.99999999937061
"cv",40,2,191.831623010117,4.99999999388266,4.99999999076252
"cv",40,3,191.831623746264,4.99999999978946,4.99999999866225
"cv",40,4,191.831623969087,4.99999999773202,4.99999999411206
