"","","","","par1","par2"
"cv",20,1,101.149935424854,-0.770030147073247,-4.99999993463445
"cv",20,2,94.5935835451697,-2.69132440924791,-0.576987766029566
"cv",20,3,94.8390689902415,1.59457347052085,-4.99996151784394
"cv",20,4,94.8712100812199,1.60721074304314,-4.99998958422532
"cv",40,1,187.973579539703,-2.94497098151007,-0.97687616038378
"cv",40,2,187.942353892952,-2.96055127942536,-0.987363944469533
"cv",40,3,189.040321096208,1.33305679310685,-4.99994833656646
"cv",40,4,185.774399787482,-2.97584144952081,-0.774154177813647
