"","","","","par1","par2"
"cv",20,1,46.9618946297503,-2.93903224233645,-1.54939160314453
"cv",20,2,78.2550417352265,-2.95653123594569,-1.69891221230603
"cv",20,3,66.2805807963023,-2.96838975960011,-1.65260238467032
"cv",20,4,71.7849901142495,-2.96832474283587,-1.67620340044568
"cv",40,1,109.086325823862,-2.91819662948093,-1.66541708353203
"cv",40,2,141.327988637003,-2.88266095520095,-1.72900091949146
"cv",40,3,123.623437500974,-2.90632091800597,-1.68415914817689
"cv",40,4,134.220561475517,-2.86563891511741,-1.70023635316604
