"","","","","par1","par2"
"cv",5,1,18.0766014871866,-4.99999999996064,-0.797693251446226
"cv",5,2,18.8146723447898,-3.80256828208285,-0.845256371817052
"cv",5,3,16.5880698758293,-4.99999999999035,-0.684388293000259
"cv",5,4,18.5906497643642,-4.99999999995626,-0.842185875145345
"cv",5,5,15.1527363778676,-4.99999999999871,-0.436569732978045
"cv",5,6,15.3665985395601,-4.99999999999917,0.708770241619419
"cv",5,7,18.0456304592314,-4.22800208391323,-0.808146475674076
"cv",5,8,17.1090915001356,-4.99999999999624,-0.708081445413382
"cv",10,1,34.9420041437886,-0.285174911961338,-1.11168215625562
"cv",10,2,31.9156600420584,0.00849994110368648,-1.05874063419714
"cv",10,3,37.087595739786,-4.99999999999986,-1.12797273014315
"cv",10,4,34.1897855463508,0.0248807259171576,-1.12517032518839
"cv",10,5,36.7053119800252,-0.0677641333320435,-1.16095447221583
"cv",10,6,30.3488358931791,0.230852327842758,-0.948903871080562
"cv",10,7,30.7639845026551,-0.317078314712129,-1.00353407873148
"cv",10,8,26.3814426221127,-0.00995461621503173,-0.823415624276761
