"","V1","V2","V3","V4"
"cv",5,1,15.7260456288678,-0.67141086949822
"cv",5,2,17.2442339577777,-0.734458009823323
"cv",5,3,16.0789999056738,-0.686950420938556
"cv",5,4,15.7810065102984,-0.668023307713856
"cv",5,5,17.7152239657006,-0.751623145206606
"cv",5,6,12.9086767724861,-0.493123538664268
"cv",5,7,14.8187191256796,-0.631228555989619
"cv",5,8,16.2861692369437,-0.694609344254469
"cv",10,1,33.4748716771631,-0.511622027787971
"cv",10,2,33.4454123184111,-0.511758366419638
"cv",10,3,31.9258734190357,-0.456366024354666
"cv",10,4,35.1714662325452,-0.561744369284227
"cv",10,5,31.4369458525442,-0.435696094122495
"cv",10,6,34.3849456317986,-0.539497998616512
"cv",10,7,29.5514963849061,-0.341539611449348
"cv",10,8,30.7539697898654,-0.403273589180347
