"","V1","V2","V3","V4"
"cv",5,1,16.0702304189111,0.573449275357402
"cv",5,2,17.6277854171919,-0.0791708694513816
"cv",5,3,16.6459186589155,0.140362764580529
"cv",5,4,16.8204813847382,0.0904349801530099
"cv",5,5,16.2409019127043,0.343756464132172
"cv",5,6,17.9522480118495,-0.122492060848492
"cv",5,7,16.5057454403563,0.196059609885052
"cv",5,8,17.7806229963889,-0.110108091136188
"cv",10,1,33.9172380450775,-0.245506768048482
"cv",10,2,34.810587202924,-0.287644283972623
"cv",10,3,31.947788862858,-0.0841147570255101
"cv",10,4,33.472455604008,-0.229152427711064
"cv",10,5,32.2742519503286,-0.124736452010094
"cv",10,6,34.491408607308,-0.279392519546095
"cv",10,7,31.8522931952754,-0.0700824381761628
"cv",10,8,33.6975234322012,-0.235550183099502
