"","V1","V2","V3","V4"
"cv",5,1,16.8187380191839,1.35634138042052
"cv",5,2,16.9798070257345,3.9999325337556
"cv",5,3,17.0966175919134,0.628107128131425
"cv",5,4,17.0135228206202,0.72060770610013
"cv",5,5,16.8626697024547,1.00768059162257
"cv",5,6,17.5512031594455,0.377889800155326
"cv",5,7,17.1201616456308,0.625151595976462
"cv",5,8,17.357055119454,0.468287353261719
"cv",10,1,33.3584908784831,-0.328756630813843
"cv",10,2,35.357883109984,-0.412537287354281
"cv",10,3,32.1383864683418,-0.25623019724093
"cv",10,4,33.2757629150093,-0.334457334335188
"cv",10,5,34.2634809249165,-0.401422625224052
"cv",10,6,33.3255298813643,-0.335681673129108
"cv",10,7,31.7866547483073,-0.231156092686347
"cv",10,8,31.4354481436151,-0.197611380516781
