"","","","","par1","par2","par3"
"cv",5,1,24.0271455037406,-0.943958650537674,-0.647044621806829,-4.99997811084826
"cv",5,2,16.102411182205,0.483950510661293,-4.99999994481015,-1.58470166552373
"cv",5,3,21.3300368766869,-0.912580687364279,-0.649721753789796,-4.99723279869689
"cv",5,4,16.071013098588,0.491249535435494,-4.99999991042486,-1.4920525080454
"cv",5,5,14.7170650839297,0.475289642164798,-4.99999980360914,-1.48309967177595
"cv",5,6,16.7979633474857,0.519612245383135,-4.99999999503955,-1.56244055518803
"cv",5,7,17.0837134002962,0.493621900318513,-4.99999987029982,-1.53885111615787
"cv",5,8,14.5217075110203,0.352215870446471,-4.99999953409194,-1.49706062802454
"cv",10,1,32.6922600258041,-0.774113179956442,-0.922661981231764,-2.02452082361887
"cv",10,2,32.78791710691,-0.735850140266172,-0.908466081271445,-1.99321445005937
"cv",10,3,34.2804179717924,-0.84657414188427,-0.549882036286518,-1.67415362673345
"cv",10,4,33.2129018888265,-0.762926481192126,-0.758201688819901,-1.92558836030558
"cv",10,5,34.8855494633738,-0.786868626920124,-0.793173414839992,-2.25520897033792
"cv",10,6,33.5326094517582,-0.66462948896958,-0.878842260348122,-2.0828413661425
"cv",10,7,32.7367709637998,-0.71070398895209,-0.887380294119995,-1.98758139447374
"cv",10,8,32.0339000959732,-0.804106013820269,-0.857117998908813,-1.89729251826699
