"","","","","par1","par2","par3"
"cv",5,1,14.7442922909178,-4.99900246120363,3.80113953843501,3.45502269152879
"cv",5,2,20.9328355045327,-4.99939407917594,3.79854195410952,3.32938496463638
"cv",5,3,13.8470491983027,-4.99999673154235,3.80010145296845,3.45043314191547
"cv",5,4,15.5189627939354,-4.99975804936782,3.80015265663792,3.41790844140634
"cv",5,5,7.78492185877444,-4.99978900775276,3.79981198989675,3.5924412970832
"cv",5,6,11.0264173112616,-4.99955213600883,3.79827794586437,3.50450649155279
"cv",5,7,14.0483257363729,-4.99610277333462,3.80085144090827,3.46864149644953
"cv",5,8,15.0882620849008,-4.99939385096537,3.813092259324,3.45367255935125
"cv",10,1,27.2665169842035,-4.99884605576125,-0.80579488678792,-1.40219227489907
"cv",10,2,28.6998449336463,-4.99988601304709,-0.500637767852746,-1.14668148227236
"cv",10,3,25.6141284109732,-4.99985965926625,3.80034333327383,3.23750180036421
"cv",10,4,21.9806201205864,-4.99991905881491,-0.556287232497419,-1.14047841040794
"cv",10,5,24.3495322107067,-4.99972806402177,-0.601488845733455,-1.19873861821136
"cv",10,6,24.6053913643468,-4.99719753928263,-0.538068376192042,-1.12644895539256
"cv",10,7,25.7005748181861,-4.06906400276655,-0.534747954680975,-1.13471379683836
"cv",10,8,26.8725236772036,-4.99947157835215,-0.585634313866879,-1.21827034249517
