"","V1","V2","V3","V4"
"cv",5,1,17.0068949381648,4.99994781897176
"cv",5,2,17.0062228468088,4.99994796086038
"cv",5,3,17.0062216859654,4.99994788673699
"cv",5,4,17.0185757699055,4.99994681356347
"cv",5,5,17.0253129805545,4.99994598820761
"cv",5,6,17.0064468270546,4.9999479119332
"cv",5,7,17.0248660755016,4.9999462124042
"cv",5,8,17.0250901577062,4.99994614900904
"cv",10,1,34.0088618879366,4.99994652758184
"cv",10,2,34.0238377515933,3.47882274325325
"cv",10,3,33.9985205507543,4.99993040677083
"cv",10,4,34.0009947123038,4.99995515971573
"cv",10,5,33.9998683401008,4.99992196289392
"cv",10,6,35.7620314490827,0.829125601739619
"cv",10,7,34.6310148098964,1.36484356920883
"cv",10,8,34.0097557724181,4.99994830951073
