"","","","","par1","par2"
"cv",5,1,16.7677439570637,-4.99999999999909,-1.67387195326647
"cv",5,2,16.7251084363523,-4.99999999999812,-1.64794362946805
"cv",5,3,16.8191746586993,-4.65415098413438,-1.6978224570706
"cv",5,4,16.7597603232316,-4.99999999999192,-1.667333466632
"cv",5,5,16.7432347271118,-4.999999999994,-1.65726489849811
"cv",5,6,16.7478693571182,-4.99999999999914,-1.6615938813704
"cv",5,7,16.7704063450592,-4.99999999999782,-1.6743324510666
"cv",5,8,16.7912314467855,-4.99999999999862,-1.68926876465719
"cv",10,1,32.3521586522907,-4.99999999999932,-1.9267375742687
"cv",10,2,32.7072907168586,-4.99999999999956,-1.99972838664574
"cv",10,3,32.6157713725426,-4.99999999999865,-1.98348087057302
"cv",10,4,32.5417365513935,-4.78767989340861,-1.97283583366254
"cv",10,5,32.642625006535,-4.99999999999546,-1.98732568127901
"cv",10,6,32.6951680797077,-4.99999999999997,-1.99711603945295
"cv",10,7,32.7543040938829,-4.99999999999957,-2.00720503362327
"cv",10,8,32.6581232245199,-4.99999999999846,-1.99106926668181
