"","","","","par1","par2","par3"
"cv",5,1,3.69149599660491,-0.207667233042546,-4.99999999859386,-3.34101735982588
"cv",5,2,0.00412001608558105,-0.237400391097997,-4.99999998295731,-3.3749018936196
"cv",5,3,14.2014108005863,-0.26526586753013,-4.99999999340138,-3.33287622586005
"cv",5,4,0.244464076292025,-0.206348664544537,-4.99999996361593,-3.35018360643319
"cv",5,5,0.0137223724350528,-0.234143578891313,-4.99999999190572,-3.37404371237979
"cv",5,6,0.165861850175215,-0.210366103023272,-4.99999998387149,-3.35897936536004
"cv",5,7,57.5646273248511,-1.36097727981398,-4.99999859791532,-4.9999999723019
"cv",5,8,14.9810313159984,-0.264284683915924,-4.30573633488282,-3.32111716775408
"cv",10,1,0.000100000500002878,-0.98785878983265,-4.20150726105455,-4.99999988424554
"cv",10,2,0.101735149525442,-0.98684383584543,-4.16789857601911,-4.99999996286811
"cv",10,3,19.4124558614983,-1.04231858067953,-4.67796011185756,-4.99999982724766
"cv",10,4,23.2261679743678,-0.708777062184779,-4.26277401657578,-4.99999984530283
"cv",10,5,4.73707447045788,-0.983787885112959,-3.89871059683969,-4.99999997195667
"cv",10,6,0.000100000500002878,-0.987824114157946,-4.20175104258561,-4.99999984415114
"cv",10,7,0.000100000500002878,-0.987858706330848,-4.20154653053402,-4.99999998584599
"cv",10,8,3.35647084811773,-0.989955412145014,-4.2031783503045,-4.99999987975374
