"","","","","par1","par2"
"cv",5,1,12.7532700125417,0.473757678321735,-2.15386601422862
"cv",5,2,15.061105150201,0.467107516896292,-2.19156639554702
"cv",5,3,14.7007226616638,0.467198064439224,-2.23153066546039
"cv",5,4,8.22069525033492,0.492885586780525,-2.1463332015291
"cv",5,5,12.4839569405484,0.508587739234198,-2.21507929885553
"cv",5,6,14.5044155692247,0.45226306815458,-2.29050344845774
"cv",5,7,11.1755528252179,0.479577903889393,-2.17233107901152
"cv",5,8,12.0505796989899,0.474420676241505,-2.18681393925146
"cv",10,1,31.9221887688456,0.339960327142768,-1.39011479757328
"cv",10,2,32.1917684655259,0.301442498742446,-1.5271326551345
"cv",10,3,31.5946163033809,0.299030985296606,-1.41633848672912
"cv",10,4,31.7281651318263,0.294257751034308,-1.48644273907514
"cv",10,5,34.188515028723,0.303383813970885,-1.51213677151232
"cv",10,6,32.3785626398804,0.335583628672795,-1.51730377344963
"cv",10,7,34.0085049155428,0.333200766849768,-1.50557637017792
"cv",10,8,32.928534029762,0.378402199549036,-1.48910981001172
