"","V1","V2","V3","V4"
"cv",5,1,15.5583148639043,-0.403740451989707
"cv",5,2,18.0603615738985,-0.583335297746645
"cv",5,3,18.1444312106499,-0.575176306444538
"cv",5,4,14.2342941416055,-0.289822753275097
"cv",5,5,16.2678053086279,-0.463063522609495
"cv",5,6,17.056647129171,-0.51240460561732
"cv",5,7,16.7967151115921,-0.504348568673272
"cv",5,8,14.6171320957832,-0.319852318237408
"cv",10,1,31.0668072243018,-0.26293810180161
"cv",10,2,34.5952979996808,-0.447917395210681
"cv",10,3,32.0883028587931,-0.330735996316672
"cv",10,4,32.6815688152951,-0.362293042477186
"cv",10,5,29.9625709517364,-0.141725489915965
"cv",10,6,33.9125246893883,-0.415819322866752
"cv",10,7,36.3112373256603,-0.509400764859118
"cv",10,8,34.1998506335466,-0.428559523577159
