"","V1","V2","V3","V4"
"cv",5,1,17.8428978701818,-0.545374313925936
"cv",5,2,15.2813337067542,-0.345895429194465
"cv",5,3,16.5226970689406,-0.462832384035282
"cv",5,4,16.2185994531027,-0.433744202519792
"cv",5,5,15.2000701121174,-0.338482294357338
"cv",5,6,17.410639232929,-0.52086720180751
"cv",5,7,16.9553898815372,-0.492103131689427
"cv",5,8,15.2562466249206,-0.3452736677337
"cv",10,1,28.9278164077024,-0.710261461829938
"cv",10,2,33.8019991217991,-0.798771536722926
"cv",10,3,32.9044092153154,-0.785513654915637
"cv",10,4,29.9865938914291,-0.730856729588078
"cv",10,5,31.9177296007485,-0.768893573615212
"cv",10,6,27.8269864002036,-0.684800128103612
"cv",10,7,28.7025173935644,-0.705604532426504
"cv",10,8,33.581582811482,-0.796458507758701
