"","","","","par1","par2","par3"
"cv",5,1,14.5160897378721,-1.08714452350881,3.99969611027048,2.79643521582219
"cv",5,2,13.1302205593463,-0.219519134660595,-0.403154754939915,-1.54545116211636
"cv",5,3,14.0932547220012,-0.221101045040469,-0.379347330820483,-1.54348210805022
"cv",5,4,10.876552208899,-1.08583153336778,3.99912867365199,2.89974062945512
"cv",5,5,19.6818178101687,-1.10382658765689,3.99990374408816,2.68641254092655
"cv",5,6,17.6027859612463,-1.09106553030839,3.99998811548499,2.73355442081604
"cv",5,7,14.2804927950418,-1.08239985393824,3.99994938839042,2.78812062369057
"cv",5,8,12.3773440613896,-1.06836298882788,3.99995498447948,2.85949996242194
"cv",10,1,25.5436848002144,-1.08851479067473,3.99995063700408,2.61513793949736
"cv",10,2,26.4529314783526,-1.0891055562418,3.99996990930194,2.59552688575068
"cv",10,3,27.57637917057,-1.07871524282859,3.99994988209606,2.59756306099213
"cv",10,4,38.5826883564716,-1.09074387415752,3.99945056137101,2.50715798621065
"cv",10,5,18.9506263203921,-1.08137730204928,3.99999682757333,2.66534572635936
"cv",10,6,20.8763847201761,-1.05047976804819,3.99990274677039,2.6530923409325
"cv",10,7,25.5552901836588,-1.05749311895961,3.99998361474789,2.60674706937439
"cv",10,8,23.2436343062732,-1.08850170858395,3.99998291154113,2.63844545726905
