"","V1","V2","V3","V4"
"cv",5,1,14.8268436985711,-0.517542467077469
"cv",5,2,15.698880294206,-0.587319949850806
"cv",5,3,19.6782044257656,-0.751627422237055
"cv",5,4,15.4101256465588,-0.572086377385936
"cv",5,5,16.7020998110684,-0.643799100590122
"cv",5,6,16.342727276297,-0.609866106197625
"cv",5,7,15.3934115201577,-0.562524402986325
"cv",5,8,14.0149591217758,-0.472286293362876
"cv",10,1,32.9194339798166,-0.139209284341395
"cv",10,2,33.9115476692175,-0.200022168213126
"cv",10,3,33.0321297536637,-0.13768887722609
"cv",10,4,32.1949148368639,-0.0494995915431486
"cv",10,5,35.8544247196793,-0.323409715954043
"cv",10,6,33.7230726735907,-0.215576973728119
"cv",10,7,31.6344966779114,0.029551845556506
"cv",10,8,34.3677129539464,-0.248004003939957
