"","","","","par1","par2","par3"
"cv",5,1,8.84221499195715,-1.14657901733402,3.9998466691772,2.735722186258
"cv",5,2,15.7042050096932,0.0376130475902073,-1.16007776715764,-2.38049774724467
"cv",5,3,8.14836534635627,-0.125160490443948,-0.796290935458049,-2.02291919108798
"cv",5,4,15.8356476026074,-0.168754700053725,-0.792232782610452,-2.13388536087051
"cv",5,5,11.8322642782946,-0.173032242463143,-0.74128374068264,-2.0348787640152
"cv",5,6,9.4572417923526,-0.00840890318777529,-0.901196593314217,-2.10958555024713
"cv",5,7,13.6124342326135,-0.132990895406311,-0.78184259269224,-2.07961229591659
"cv",5,8,13.9610299035808,-0.231641392457524,-0.656202384486422,-1.98226520214092
"cv",10,1,25.268756128777,0.00668492745066016,-0.953472469403648,-2.16206331360294
"cv",10,2,26.1516954205379,-0.0201617875619134,-0.8615135263655,-2.08376319533028
"cv",10,3,19.5851636598111,0.125725472520001,-0.90949185959244,-2.11745346920481
"cv",10,4,27.6162844452129,-0.0120272806374862,-0.831457806559644,-2.08864781429528
"cv",10,5,25.0398896089409,0.0387061134903264,-0.965616594135522,-2.1935133634711
"cv",10,6,28.0810480138499,0.00432490639925911,-0.876148868593253,-2.12003825685824
"cv",10,7,29.2858547125924,0.038140362201466,-0.8969976008215,-2.13942400656316
"cv",10,8,31.5263617017415,-0.0912383511192661,-0.78161038347077,-2.05081911461225
