"","V1","V2","V3","V4"
"cv",5,1,16.2946074878746,-0.721397414722842
"cv",5,2,12.0817385785523,-0.428486995503705
"cv",5,3,12.0817385785523,-0.428486995503705
"cv",5,4,14.9334432393337,-0.669525190341799
"cv",5,5,20.2794483901491,-0.849384020431167
"cv",5,6,20.2794777673837,-0.849390221166555
"cv",5,7,20.1345727346293,-0.841211299514714
"cv",5,8,14.1537506431059,-0.580966564988971
"cv",10,1,40.221081697329,-0.667744396629065
"cv",10,2,28.3418232840653,0.073854717104061
"cv",10,3,35.3095310293925,-0.539145623879713
"cv",10,4,34.4919753238182,-0.506828054225444
"cv",10,5,35.3054403768847,-0.539021326829394
"cv",10,6,29.5769115590493,-0.205079184205796
"cv",10,7,35.1664202457893,-0.536640999998476
"cv",10,8,30.3432235662875,-0.247424049864651
