"","V1","V2","V3","V4"
"cv",5,1,13.9306536907545,-0.607214623411382
"cv",5,2,19.6453662445955,-0.817970909989694
"cv",5,3,16.8122410129736,-0.722632444420787
"cv",5,4,13.6164482378113,-0.589281016567947
"cv",5,5,13.1741840718026,-0.549785912197843
"cv",5,6,19.3596062210778,-0.790047963363299
"cv",5,7,15.6826518039335,-0.688021929440029
"cv",5,8,14.4067148145856,-0.631352469221353
"cv",10,1,31.4582396575152,-0.538224981315398
"cv",10,2,29.0550180575807,-0.447590459338255
"cv",10,3,32.9211567989113,-0.574140943547244
"cv",10,4,33.2409521631782,-0.577744456512551
"cv",10,5,33.1615131373959,-0.58859529822349
"cv",10,6,32.2629563108703,-0.560425662260392
"cv",10,7,34.8675293032754,-0.62296274358352
"cv",10,8,30.4318662515555,-0.504244283604856
