"","V1","V2","V3","V4"
"cv",5,1,16.0794826168202,-0.166867675641721
"cv",5,2,16.3154833235382,-0.198535806164057
"cv",5,3,18.3397821277038,-0.401178029879442
"cv",5,4,16.2855411438509,-0.194109827718237
"cv",5,5,16.1564981282325,-0.17589578476521
"cv",5,6,17.8584997297178,-0.363531577115729
"cv",5,7,16.6425836508169,-0.241936660164052
"cv",5,8,15.4232071685123,-0.0221431048499063
"cv",10,1,29.3539737701214,-0.603927886674062
"cv",10,2,31.5211922571499,-0.661289681428915
"cv",10,3,38.551955322312,-0.789862612253822
"cv",10,4,32.9565437760414,-0.69037412463899
"cv",10,5,31.0425566491234,-0.647138674674438
"cv",10,6,36.4917630932195,-0.756503590252405
"cv",10,7,23.975543818969,-0.37015270680037
"cv",10,8,32.0634781911198,-0.670868385401583
