"","V1","V2","V3","V4"
"cv",5,1,17.1659056872793,0.971523592181803
"cv",5,2,17.3248457726184,0.781587495843862
"cv",5,3,17.0805235759728,1.14588515654862
"cv",5,4,16.9918672243734,3.99995157396939
"cv",5,5,16.9643891359853,2.34239250503838
"cv",5,6,16.9685086654934,2.55219650747492
"cv",5,7,16.9623348111354,2.09097719941466
"cv",5,8,17.1164459275543,1.06483567596335
"cv",10,1,30.7621530243241,-0.186478902118004
"cv",10,2,36.0123190143123,-0.445702916167814
"cv",10,3,34.0539147654893,-0.364379073870467
"cv",10,4,29.3550702427959,-0.0229876598931593
"cv",10,5,37.0730635559526,-0.472134436438167
"cv",10,6,32.9435299669079,-0.325819740973452
"cv",10,7,34.8214425161804,-0.399103173638095
"cv",10,8,30.9051583251004,-0.212576329278684
