"","V1","V2","V3","V4"
"cv",5,1,17.1572416932196,-0.866736730534327
"cv",5,2,16.5076622398027,-0.84632426980223
"cv",5,3,13.2691031589013,-0.737508415401237
"cv",5,4,15.8730766015007,-0.826806991238668
"cv",5,5,12.1896957160724,-0.681651790194374
"cv",5,6,16.6650123616681,-0.851134277480842
"cv",5,7,13.8306770077889,-0.754888113872558
"cv",5,8,17.0907916586446,-0.863921470732237
"cv",10,1,31.6515074366934,-0.76211307014211
"cv",10,2,30.5088768026382,-0.740769278369621
"cv",10,3,30.8250059148505,-0.750015950696156
"cv",10,4,26.7738108393418,-0.657745770147088
"cv",10,5,32.5387188022669,-0.778772335467001
"cv",10,6,28.0250378771503,-0.690480645012812
"cv",10,7,37.1103401784173,-0.849436027108398
"cv",10,8,30.5491032202165,-0.743779483735328
