"","","","","par1","par2"
"cv",5,1,16.4723095690557,-3.6319763233909,-3.62850532988514
"cv",5,2,16.4723095690557,-2.4678528150501,-4.2408594506655
"cv",5,3,16.4723095690557,-2.82617225710444,-3.84717425187011
"cv",5,4,16.4723095690557,-1.92728676573238,-3.932065537412
"cv",5,5,16.4723095690557,-4.65556512189054,-3.96324355880856
"cv",5,6,16.4723095690557,-4.09524015942588,-4.22286509063311
"cv",5,7,16.4723095690557,-2.28004299172886,-4.49180233657875
"cv",5,8,16.4723095690557,-2.5152386177505,-3.80785365846248
"cv",10,1,31.9171547799685,-2.87605736811738,-4.50144583528468
"cv",10,2,31.9171547799685,-3.03641633948235,-3.70911079491392
"cv",10,3,31.9171547799685,-3.87163181956741,-4.69788899582715
"cv",10,4,31.9171547799685,-3.14238642406401,-3.92571857060807
"cv",10,5,31.9171547799685,-4.16607120038147,-4.71612753516371
"cv",10,6,31.9171547799685,-2.37716782782815,-3.95008450266019
"cv",10,7,31.9171547799685,-2.06789910962427,-4.25807289834209
"cv",10,8,31.9171547799685,-2.45242722555935,-4.33213746233293
