"","V1","V2","V3","V4"
"cv",5,1,17.1630416631377,-0.618068635293853
"cv",5,2,16.4516498262667,-0.580172600323706
"cv",5,3,15.1106189219191,-0.491462428982483
"cv",5,4,16.545565718641,-0.584738872590807
"cv",5,5,16.2694166371151,-0.567688448086981
"cv",5,6,15.9099640549305,-0.54744318675874
"cv",5,7,14.7012274044855,-0.460794185443599
"cv",5,8,16.3258631665192,-0.56991444427474
"cv",10,1,34.9619513763135,-0.923035931632831
"cv",10,2,28.3413305860671,-0.827969851807988
"cv",10,3,31.1532204322526,-0.872144820985293
"cv",10,4,27.8272923337912,-0.81985084515129
"cv",10,5,31.3758501112945,-0.876240974171543
"cv",10,6,28.1891497617203,-0.825430151846265
"cv",10,7,28.4580766698278,-0.829929321560681
"cv",10,8,30.1589349910235,-0.857966559808867
