"","V1","V2","V3","V4"
"cv",5,1,17.6179776146853,0.16003816726227
"cv",5,2,16.728938391923,0.596825232995135
"cv",5,3,17.290969971245,0.263595842531588
"cv",5,4,16.6741950966651,0.689743587368651
"cv",5,5,16.677898737032,0.676906179608286
"cv",5,6,16.7812829501414,0.551816129146113
"cv",5,7,16.6734420611987,0.679590149652447
"cv",5,8,17.4956242761138,0.19331695885345
"cv",10,1,34.107411933548,0.684121892671903
"cv",10,2,33.7858110138806,0.963706252250059
"cv",10,3,34.4900773478177,0.523555433071664
"cv",10,4,33.6675394738672,1.31360904900777
"cv",10,5,34.446708047221,0.533149299559806
"cv",10,6,33.6713953183166,1.257513157537
"cv",10,7,34.0037232024721,0.749544004802306
"cv",10,8,33.9816195273847,0.776214925206218
