"","V1","V2","V3","V4"
"cv",5,1,11.7107230352333,-1.08854672899496
"cv",5,2,10.1184222839084,-1.05176470769833
"cv",5,3,12.0696529089932,-1.09095726864327
"cv",5,4,16.4792543136673,-1.17358489449093
"cv",5,5,15.1944697043797,-1.15278103466134
"cv",5,6,10.9615087960509,-1.07192305126967
"cv",5,7,16.5486380991261,-1.17486381268623
"cv",5,8,15.0005696859516,-1.14698689319177
"cv",10,1,32.415797761781,-0.961519632439261
"cv",10,2,22.3107290302682,-0.8133565173521
"cv",10,3,26.2859168853071,-0.88091248361073
"cv",10,4,32.6017795540665,-0.964819638294261
"cv",10,5,30.9939740924609,-0.947984011709764
"cv",10,6,32.481115299882,-0.962456189310874
"cv",10,7,27.9156362139029,-0.907564513479798
"cv",10,8,30.5724534929344,-0.94215351478783
