"","V1","V2","V3","V4"
"cv",5,1,17.8100688339029,-0.879418743042364
"cv",5,2,12.3680260532402,-0.686887934394873
"cv",5,3,13.392265625144,-0.733369824127767
"cv",5,4,15.6476701128535,-0.817560905334973
"cv",5,5,15.613639168936,-0.815392946277905
"cv",5,6,15.3724203190641,-0.812675656472704
"cv",5,7,15.7326476851882,-0.81893594504343
"cv",5,8,16.4023584584223,-0.843911532019585
"cv",10,1,27.2666120865141,-0.756681264585379
"cv",10,2,30.1581868056224,-0.810000866567415
"cv",10,3,31.5145276945787,-0.831272894154756
"cv",10,4,31.1055392666577,-0.824552870467006
"cv",10,5,31.7761868639942,-0.837078117838961
"cv",10,6,30.2776726833167,-0.811557574880314
"cv",10,7,32.3839115070224,-0.846332714153937
"cv",10,8,28.7300827772994,-0.786754729635683
