"","","","","par1","par2","par3"
"cv",5,1,16.4723095690557,-1.40380289211891,1.56915411808926,-3.02143859552122
"cv",5,2,16.4723095690557,-1.45834654820355,3.28696305898795,-4.26485701590041
"cv",5,3,16.4723095690557,1.15546741709113,3.48073396417127,-2.78848452358467
"cv",5,4,16.4723095690557,-0.0999775509768121,2.14015046122646,-3.20055816900681
"cv",5,5,16.4723095690557,-0.378964137057112,2.66831324103514,-3.38877938145967
"cv",5,6,16.4723095690557,1.65684921449821,1.71795868972362,-3.69606036486229
"cv",5,7,16.4723095690557,-0.00521787093292692,1.47124845553247,-4.89288609195501
"cv",5,8,16.4723095690557,-1.08121146796354,3.45622452237803,-2.89826004251035
"cv",10,1,31.9171547799685,-4.7835915919859,1.39429749888954,-4.28307579951013
"cv",10,2,31.9171547799685,-3.79272138667236,2.63078552084777,-0.778042064353987
"cv",10,3,31.9171547799685,-3.63265381044282,3.27927045904409,-1.00328212883528
"cv",10,4,31.9171547799685,-0.974272619201075,-0.272543083931919,-3.88043548961736
"cv",10,5,31.9171547799685,-3.2977321395366,1.7381358590951,-1.13021904869051
"cv",10,6,31.9171547799685,-1.46538514967792,2.83910852717236,-2.59445942506945
"cv",10,7,31.9171547799685,2.21737672034278,3.66542595867893,-2.73597880266607
"cv",10,8,31.9171547799685,-2.73887242089387,2.53395948560788,-3.52360633999143
