"","V1","V2","V3","V4"
"cv",5,1,16.8644645606504,0.450379269228521
"cv",5,2,16.9880276172533,4.99994268400653
"cv",5,3,17.1685334879044,0.276920270225195
"cv",5,4,19.2293064005192,-0.164984654288276
"cv",5,5,17.1897772094235,0.251143957211809
"cv",5,6,17.774080806649,0.0836882874693755
"cv",5,7,17.1685960510075,0.267296526099903
"cv",5,8,16.6635610013581,1.62093619216207
"cv",10,1,34.0070628698459,4.99992786317372
"cv",10,2,33.9983045362022,4.99993143368161
"cv",10,3,34.02413449611,4.99993728434518
"cv",10,4,34.0142498347386,4.99992353206503
"cv",10,5,34.0182955725752,4.99995607212323
"cv",10,6,34.0099818453292,4.99992606420092
"cv",10,7,34.0232382174933,4.999941446115
"cv",10,8,34.0169395480725,4.99995839720276
