"","","","","par1","par2"
"cv",5,1,16.4723095690557,-1.44118675985374,-4.64408223007646
"cv",5,2,16.4723095690557,-0.250145091732802,-4.51891090463516
"cv",5,3,16.4723095690557,-1.07663056709915,-4.49232448174279
"cv",5,4,16.4723095690557,-2.13275511002333,-4.53685900532859
"cv",5,5,16.4723095690557,-3.01953461783845,-4.17913880093025
"cv",5,6,16.4723095690557,-2.65069747048106,-4.0671178133318
"cv",5,7,16.4723095690557,-1.9018849740118,-4.12475671192639
"cv",5,8,16.4723095690557,-1.29887879815802,-4.83236057126345
"cv",10,1,32.0581184805588,-4.99999999998803,-1.40147772225471
"cv",10,2,32.0589853541147,-4.99999999999195,-1.4007804100345
"cv",10,3,32.0709675742259,-4.99999999999716,-1.3983986537195
"cv",10,4,40.4343479713848,-2.30342581203614,-4.3692137926544
"cv",10,5,32.0714281222448,-4.99999999999093,-1.39823848102938
"cv",10,6,32.0728602754111,-4.99999999999616,-1.39779146573464
"cv",10,7,32.0569495529912,-4.99999999992418,-1.40161183724174
"cv",10,8,32.0422063106954,-4.99999999973684,-1.40444978649928
