"","V1","V2","V3","V4"
"cv",5,1,15.8485726607416,0.475489453527087
"cv",5,2,16.2621842047671,0.102887225522021
"cv",5,3,17.2594016273488,-0.115653986229903
"cv",5,4,17.188202304591,-0.11433129324364
"cv",5,5,16.0247828616348,0.201316440326211
"cv",5,6,17.4442350973026,-0.173000551941201
"cv",5,7,17.4351911695498,-0.161300506034555
"cv",5,8,17.9638842346799,-0.234817047935431
"cv",10,1,30.3851785414875,-0.492616589328175
"cv",10,2,31.9880609484585,-0.535844129778662
"cv",10,3,35.8831305869617,-0.646535767064777
"cv",10,4,31.4701061611916,-0.526092458294257
"cv",10,5,32.2405676850848,-0.542989641367131
"cv",10,6,33.3699563509624,-0.584897704393438
"cv",10,7,36.6353666133305,-0.674516225664221
"cv",10,8,28.3309151093573,-0.36215344074287
