"","V1","V2","V3","V4"
"cv",5,1,10.7274615630765,-1.55235510626923
"cv",5,2,6.66295179357126,-1.49447388781381
"cv",5,3,14.0808485995087,-1.59972136921964
"cv",5,4,4.840124115495,-1.48327293981963
"cv",5,5,6.63565716389137,-1.49528378212682
"cv",5,6,4.840124115495,-1.48327293981963
"cv",5,7,24.3657041624165,-1.74167421294491
"cv",5,8,6.64717309512383,-1.49494542218705
"cv",10,1,13.0909923792505,-1.44689408001048
"cv",10,2,13.7262394412244,-1.44030417465169
"cv",10,3,39.839662100291,-1.63150007116032
"cv",10,4,37.4691538063799,-1.61618648706766
"cv",10,5,17.502803469795,-1.46921884985422
"cv",10,6,13.6784047754306,-1.44097597465174
"cv",10,7,13.6985138195477,-1.44069561391709
"cv",10,8,17.5767616673393,-1.47043534766388
