"","V1","V2","V3","V4"
"cv",5,1,11.7873442168781,-1.3907473768096
"cv",5,2,11.7373255222388,-1.38269278515702
"cv",5,3,7.37134162784152,-1.31505085049746
"cv",5,4,8.85354835160013,-1.34899891955841
"cv",5,5,10.8311974774885,-1.37021821664853
"cv",5,6,12.0720491012972,-1.38770521269351
"cv",5,7,7.35912981328914,-1.31531134369878
"cv",5,8,20.3468428581814,-1.50198069915544
"cv",10,1,24.379481070884,-1.38650578378828
"cv",10,2,18.3651131623991,-1.34032997917407
"cv",10,3,19.8112251866531,-1.35179797750192
"cv",10,4,25.1382426102766,-1.39313649083415
"cv",10,5,20.117002445163,-1.35394593446148
"cv",10,6,27.4214380008466,-1.40880672156211
"cv",10,7,20.8629844315063,-1.36059041214796
"cv",10,8,24.4659445534758,-1.38979231180457
