"","V1","V2","V3","V4"
"cv",5,1,15.4388858746423,0.846332703176133
"cv",5,2,17.2077111841617,-0.277716691387843
"cv",5,3,17.1806341029255,-0.27600465712281
"cv",5,4,19.4472567497306,-0.4815784504445
"cv",5,5,20.2912935886429,-0.509389612833533
"cv",5,6,17.1806341029255,-0.276004657122822
"cv",5,7,15.5697392669255,0.0156214035198464
"cv",5,8,15.4789039147282,0.0789098516848278
"cv",10,1,33.7997442260838,1.19557668710347
"cv",10,2,33.6758614227212,1.70153050473344
"cv",10,3,33.8280208773155,2.79095662174986
"cv",10,4,33.6830392024797,1.56598849238686
"cv",10,5,35.2752806876938,0.509689942203
"cv",10,6,35.8499970481277,0.392520680263608
"cv",10,7,34.112971497674,0.901801320834799
"cv",10,8,34.125154560467,0.903863945492822
