"","V1","V2","V3","V4"
"cv",5,1,15.372019794318,-0.942303530036195
"cv",5,2,16.5786556920582,-0.971815620796314
"cv",5,3,10.1329157079177,-0.771131743151047
"cv",5,4,13.5222751880108,-0.891302991518221
"cv",5,5,17.7503752366775,-0.996971633827448
"cv",5,6,20.4778436021304,-1.05384497513374
"cv",5,7,13.780174923187,-0.899422852150195
"cv",5,8,11.7196172710154,-0.838762473926145
"cv",10,1,30.2548287057457,-0.790785475914271
"cv",10,2,30.5321600132694,-0.794143229108368
"cv",10,3,30.9979726761196,-0.804383543700887
"cv",10,4,28.9712249568595,-0.763465941511218
"cv",10,5,26.8266310872401,-0.721761748849078
"cv",10,6,31.8366773756267,-0.815239889986213
"cv",10,7,34.6375117903753,-0.859050335421567
"cv",10,8,30.6183313687787,-0.796141367027373
