"","V1","V2","V3","V4"
"cv",5,1,18.0111145494686,0.0548717162549452
"cv",5,2,16.8100052053621,2.40746370834054
"cv",5,3,18.3100679106533,-0.00617851465388463
"cv",5,4,17.7338197264755,0.128041028864503
"cv",5,5,18.3033930928529,-0.0132721792998569
"cv",5,6,16.6268950042199,1.49117334750897
"cv",5,7,16.5838520905648,0.930589087037386
"cv",5,8,16.6257179134337,0.768580536745757
"cv",10,1,33.0871651977578,0.196297525997629
"cv",10,2,33.1992743146595,0.176826186070003
"cv",10,3,34.0569077244377,0.0521650634696776
"cv",10,4,33.4880511107664,0.13248362708247
"cv",10,5,33.6567421642888,0.0969966320909239
"cv",10,6,32.3028919259512,0.411085445393484
"cv",10,7,34.5083184057487,-0.00118630272311813
"cv",10,8,34.8234305812331,-0.0413535382007496
