"","V1","V2","V3","V4"
"cv",5,1,16.3796333252711,0.486013127788196
"cv",5,2,16.8029374473151,0.224844969376121
"cv",5,3,17.2859876493928,0.0825732941177805
"cv",5,4,16.3059945353111,0.634057309224264
"cv",5,5,17.4898483301908,0.0322994030352143
"cv",5,6,16.5684196172614,0.348470939319476
"cv",5,7,18.1318451772044,-0.0757808748551395
"cv",5,8,16.8075167649666,0.213318020408345
"cv",10,1,32.7257806431775,-0.360513224748387
"cv",10,2,30.5614552683485,-0.222550709440037
"cv",10,3,32.7667729277989,-0.360748449909837
"cv",10,4,35.2912083381509,-0.474050792847665
"cv",10,5,31.3891459809914,-0.28612882999353
"cv",10,6,33.841259017535,-0.408817951377215
"cv",10,7,33.7999135240492,-0.414743930680017
"cv",10,8,33.2256255938201,-0.387842415747339
