"","V1","V2","V3","V4"
"cv",5,1,15.9940372526244,-0.764810739942126
"cv",5,2,18.6730864627476,-0.84958333586227
"cv",5,3,14.4820155545673,-0.707007709970792
"cv",5,4,14.6301270662837,-0.711552761851739
"cv",5,5,15.2491716728635,-0.738684577797496
"cv",5,6,15.1688445816809,-0.731613641955316
"cv",5,7,15.7171165739136,-0.759338632567153
"cv",5,8,13.8790352032144,-0.683529881722174
"cv",10,1,33.7445102864598,-0.866431171153553
"cv",10,2,29.7233246546791,-0.800447362156592
"cv",10,3,31.5400715576477,-0.82971371346878
"cv",10,4,28.5780409203517,-0.778926678833465
"cv",10,5,29.4710550279428,-0.795570394491865
"cv",10,6,32.4406023235296,-0.843848523175726
"cv",10,7,28.1996031991473,-0.773283149302338
"cv",10,8,29.7148128096849,-0.800416864228093
