"","","","","par1","par2"
"cv",5,1,17.9081339024643,2.1950201753806,-1.62655386491025
"cv",5,2,12.4070226190643,2.1297017458675,-1.39935715887355
"cv",5,3,16.3551493976582,2.12054821503858,-1.45241510922273
"cv",5,4,16.1296220665837,2.15006995538448,-1.42323650930828
"cv",5,5,14.6386743871755,2.15855241692359,-1.39987573060714
"cv",5,6,13.9920511513005,2.14831732685546,-1.4528399991584
"cv",5,7,15.738877818161,2.12359897336656,-1.43078787687359
"cv",5,8,14.1176397931702,2.08093105520858,-1.40111425326947
"cv",10,1,32.3935717536855,-0.183106153298934,-1.88955409551413
"cv",10,2,32.9334840220311,-0.174964589387366,-1.89644794121553
"cv",10,3,35.5028115047585,1.92340366146954,-0.741972106847919
"cv",10,4,32.4235770780007,-0.190865850013794,-1.87211495769305
"cv",10,5,31.346891249493,-0.238258632127526,-1.81336149991264
"cv",10,6,32.6093873435996,-0.184367854164839,-1.88495450348343
"cv",10,7,32.6006138357504,-0.194054484380938,-1.86661228187592
"cv",10,8,33.1027220498138,-0.166575590438217,-1.90559850180158
