"","","","","par1","par2"
"cv",20,1,72.740723745094,-4.99999999999327,-2.2285233171906
"cv",20,2,68.0038810661855,-4.99999999999838,-2.21046217579788
"cv",20,3,72.6834869164429,-4.31738961835268,-2.25231315084444
"cv",20,4,78.622638776099,-4.99999999999123,-2.27233449462583
"cv",40,1,138.242812552858,-4.99999999999849,-2.36413527765538
"cv",40,2,132.129023424599,-4.99999999999497,-2.33472822299823
"cv",40,3,136.645120184746,-4.91889878109542,-2.36060477863347
"cv",40,4,133.720094462762,-4.99999999997488,-2.34001160310809
