"","","","","par1","par2"
"cv",20,1,51.3550252123116,-2.06335679395408,-2.26375419047682
"cv",20,2,64.3735257999438,-2.44175069312091,-2.31612269538215
"cv",20,3,69.2934761947772,-1.79698634073089,-2.34325228382962
"cv",20,4,93.4283115337607,-2.09604418010319,-2.45619517910317
"cv",40,1,106.148595748774,-0.81577649367772,-2.28600550345398
"cv",40,2,163.280185965204,-0.874839856378124,-2.45577609545947
"cv",40,3,170.805541257695,-0.88945396423452,-2.4693778968731
"cv",40,4,124.634361239951,-1.3672332061294,-2.33777865217902
