"","","","","par1","par2"
"cv",20,1,95.608903547561,-2.32257058719661,-4.9788320977342
"cv",20,2,96.6111866484197,-4.56312479246673,-4.87060493798185
"cv",20,3,94.3806894176856,-3.86353762006533,-4.79091765868246
"cv",20,4,97.1651734893166,0.092379253450781,-4.91672491131723
"cv",40,1,188.956328675754,-2.50239587943561,-4.5943270779214
"cv",40,2,185.133503017631,-1.73209671215524,-4.6747291539153
"cv",40,3,187.117532210474,-2.08445972995833,-4.75720111773778
"cv",40,4,188.733501577666,-0.6767687749146,-4.68510956069747
