"","","","","par1","par2","par3"
"cv",20,1,94.0730124257147,0.203234418639292,1.53626980314385,-2.78444920377543
"cv",20,2,94.0730124257147,-1.64905420998437,1.83620772557333,-3.39373245621581
"cv",20,3,94.0730124257147,-1.18528229184449,2.78994342383545,-4.32106649213009
"cv",20,4,94.0730124257147,-2.1085922512618,0.0369811184212707,-4.40557962577078
"cv",40,1,184.139263695584,0.559579881297185,2.91732503735174,-2.00555891319429
"cv",40,2,184.139263695584,-2.52981463912874,3.20043668177617,-0.382577925285274
"cv",40,3,184.139263695584,-3.23837521277025,0.717480220892473,-4.9263894173505
"cv",40,4,184.139263695584,0.0283265557884348,4.14228930984374,-0.230471690137103
